unit,               hm,                  cTime,       dt,       chm,qcrs,sat,sel,mod,bmso, Tb,  vb,  ib,   ib_charge, ioc, voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,soc_min, Tbl,
g20230530_soc0p_ch, 2023-08-05T09:23:49,  87398523.829, 0.100,   1,  405720, 0,  1,  0,  0, 24.120,13.284,    -0.205,    -0.205,    -0.030,13.29338,    13.79648,-0.00404,13.29996,13.29189,  -0.004847, 0.86250,0.85257,0.86250,0.01400,24.120,
g20230530_soc0p_ch, 2023-08-05T09:23:54,  87398528.832, 0.100,   1,  405720, 0,  1,  0,  0, 24.120,13.284,    -0.205,    -0.205,    -0.030,13.29337,    13.79648,-0.00404,13.29995,13.29189,   0.012369, 0.86249,0.85263,0.86250,0.01400,24.120,
g20230530_soc0p_ch, 2023-08-05T09:23:59,  87398533.835, 0.099,   1,  405720, 0,  1,  0,  0, 24.120,13.280,    -0.205,    -0.205,    -0.030,13.29337,    13.79648,-0.00404,13.29564,13.29189,  -0.004864, 0.86249,0.85261,0.86249,0.01400,24.120,
g20230530_soc0p_ch, 2023-08-05T09:24:04,  87398538.838, 0.099,   1,  405720, 0,  1,  0,  0, 24.120,13.280,    -0.205,    -0.205,    -0.030,13.29337,    13.79648,-0.00404,13.29564,13.29189,   0.012364, 0.86249,0.85260,0.86249,0.01400,24.120,
g20230530_soc0p_ch, 2023-08-05T09:24:09,  87398543.838, 0.103,   1,  405720, 0,  1,  0,  0, 24.120,13.284,    -0.205,    -0.205,    -0.030,13.29337,    13.79648,-0.00404,13.29994,13.29190,   0.012349, 0.86249,0.85267,0.86249,0.01400,24.120,
g20230530_soc0p_ch, 2023-08-05T09:24:14,  87398548.840, 0.101,   1,  405720, 0,  1,  0,  0, 24.120,13.275,    -0.205,    -0.205,    -0.030,13.29337,    13.79648,-0.00404,13.29132,13.29191,  -0.004891, 0.86248,0.85270,0.86248,0.01400,24.120,
g20230530_soc0p_ch, 2023-08-05T09:24:19,  87398553.843, 0.100,   1,  405720, 0,  1,  0,  0, 24.120,13.280,    -0.205,    -0.205,    -0.030,13.29337,    13.79648,-0.00404,13.29562,13.29190,  -0.000587, 0.86248,0.85270,0.86248,0.01400,24.120,
g20230530_soc0p_ch, 2023-08-05T09:24:24,  87398558.846, 0.101,   1,  405720, 0,  1,  0,  0, 24.120,13.288,    -0.205,    -0.205,    -0.030,13.29337,    13.79648,-0.00404,13.30423,13.29191,   0.012317, 0.86248,0.85279,0.86248,0.01400,24.120,
g20230530_soc0p_ch, 2023-08-05T09:24:29,  87398563.850, 0.100,   1,  405720, 0,  1,  0,  0, 24.120,13.284,    -0.205,    -0.205,    -0.030,13.29337,    13.79648,-0.00404,13.29992,13.29192,  -0.000612, 0.86248,0.85281,0.86248,0.01400,24.120,
g20230530_soc0p_ch, 2023-08-05T09:24:34,  87398568.853, 0.100,   1,  405720, 0,  1,  0,  0, 24.120,13.284,    -0.205,    -0.205,    -0.030,13.29337,    13.79648,-0.00404,13.29991,13.29193,  -0.004929, 0.86247,0.85282,0.86247,0.01400,24.120,
g20230530_soc0p_ch, 2023-08-05T09:24:39,  87398573.852, 0.104,   1,  405720, 0,  1,  0,  0, 24.120,13.271,    -0.205,    -0.205,    -0.030,13.29337,    13.79648,-0.00404,13.28699,13.29192,   0.003683, 0.86247,0.85283,0.86247,0.01400,24.120,
