=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.10.13 12:59:33 =~=~=~=~=~=~=~=~=~=~=~=
v4;echo: v4, 4
echo: v4, 0
sp.debug 0 to 4
unit_ekf, 75574128.752,  2.000, 0.9999999,   5.6e-06,  2.25e-06,      0.25,4.499979e-06, 0.2500009,8.098946e-06,         0,  0.499998,9.536743e-07,     13.38,  0.499998,4.499996e-06,  0.499998,4.499979e-06,     13.38, 0.4499435,
unit_ekf, 75574128.752,  2.000, 0.9999999,   5.6e-06,  2.25e-06,      0.25,6.749942e-06, 0.2500014,1.214837e-05,         0,  0.499998,9.536743e-07,     13.38,  0.499998,6.749978e-06,  0.499998,6.749942e-06,     13.38, 0.4499435,
unit_sel, 75574128.752, 0, 0,  -0.0000019,  0.00000,0.00000,0.00000,0.00000,0.00000,  0.00000,0.00000,   13.38000,0.00000,-0.00278,  1, 0.00000,0.00000, 1, 0.00000,  1, 0.00000,13.38000, 1, 13.38000,   0.00,25.00, 1, 25.00, 0, 0,   0.000,   0.000, 1,   0.200,  0.394, -0.492, 10.000,  0.005,1,
unit_sim,  75574128.752, 0,  360000, 0, 25.00000,25.00000, 13.80000,13.38000,0.00000,13.38000,   0.000,  0.000,  0.000,  0.000,  0,  -180000.0,   0.50000, 1, 
unit_ekf, 75574128.752,  2.000, 0.9999999,   5.6e-06,  2.25e-06,      0.25,2.249996e-06, 0.2500005,4.049485e-06,         0, 0.4999981,9.536743e-07,     13.38, 0.4999981,  2.25e-06, 0.4999981,2.249996e-06,     13.38, 0.4499435,
unit,               hm,                  cTime,       dt,       chm,qcrs,sat,sel,mod,bmso, Tb,  vb,  ib,   ib_charge, ioc, voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,soc_min, Tbl,
unit_m,  c_time,       chm_s, qcrs_s, bmso_s, Tb_s,Tbl_s,  vsat_s, voc_stat_s, dv_dyn_s, vb_s, ib_s, ib_in_s, ib_charge_s, ioc_s, sat_s, dq_s, soc_s, reset_s,
unit_s,c_time,res,user_sel,   cc_dif,  ibmh,ibnh,ibmm,ibnm,ibm,   ib_diff, ib_diff_f,    voc_soc,e_w,e_w_f,  ib_sel_stat,ib_h,ib_s,mib,ib, vb_sel,vb_h,vb_s,mvb,vb,  Tb_h,Tb_s,mtb,Tb_f,   fltw, falw, ib_rate, ib_quiet, tb_sel, ccd_thr, ewh_thr, ewl_thr, ibd_thr, ibq_thr, preserving,
unit_e,c_time,dt,Fx_, Bu_, Q_, R_, P_, S_, K_, u_, x_, y_, z_, x_prior_, P_prior_, x_post_, P_post_, hx_, H_,
g20230530_pro1a_bb, 2023-03-20T17:20:25,  75574128.752, 0.100,   0,  360000, 0,  0,  247,  0, 25.000,13.380,     0.000,     0.000,     0.000,13.38000,    13.80000,0.00000,13.38000,13.38000,   0.000001, 0.50000,0.50000,0.50000,0.02500,25.000,
unit_sel, 75574129.146, 0, 0,  -0.0000020,  0.00000,0.00000,0.00000,0.00000,0.00000,  0.00000,0.00000,   13.38000,0.00000,-0.00252,  1, 0.00000,0.00000, 1, 0.00000,  1, 0.00000,13.38000, 1, 13.38000,   0.00,25.00, 1, 25.00, 0, 0,   0.000,   0.000, 1,   0.200,  0.394, -0.492, 10.000,  0.005,1,
unit_sim,  75574129.146, 0,  360000, 0, 25.00000,25.00000, 13.80000,13.38000,0.00000,13.38000,   0.000,  0.000,  0.000,  0.000,  0,  -180000.0,   0.50000, 0, 
unit_ekf, 75574129.146,  1.700, 0.9999999,  4.76e-06,  2.25e-06,      0.25,4.499979e-06, 0.2500009,8.098946e-06,         0,  0.499998,9.536743e-07,     13.38,  0.499998,4.499996e-06,  0.499998,4.499979e-06,     13.38, 0.4499435,
g20230530_pro1a_bb, 2023-03-20T17:20:25,  75574129.146, 0.100,   0,  360000, 0,  0,  247,  0, 25.000,13.380,     0.000,     0.000,     0.000,13.38000,    13.80000,0.00000,13.38000,13.38000,   0.000001, 0.50000,0.50000,0.50000,0.02500,25.000,
unit_sel, 75574129.546, 0, 0,  -0.0000020,  0.00000,0.00000,0.00000,0.00000,0.00000,  0.00000,0.00000,   13.38000,0.00000,-0.00228,  1, 0.00000,0.00000, 1, 0.00000,  1, 0.00000,13.38000, 1, 13.38000,   0.00,25.00, 1, 25.00, 0, 0,   0.000,   0.000, 1,   0.200,  0.394, -0.492, 10.000,  0.005,1,
