unit,               hm,                  cTime,       dt,       chm,qcrs,sat,sel,mod,bmso, Tb,  vb,  ib,   ib_charge, ioc, voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,soc_min, Tbl,
g20230530_soc0p_ch, 2023-08-04T02:50:23,  87288523.120, 0.100,   1,  405720, 0,  1,  0,  0, 23.625,13.267,    -0.623,    -0.623,    -0.046,13.30964,    13.79450,-0.01250,13.29772,13.29285,   0.000568, 0.97738,0.85902,0.97738,0.01400,23.625,
g20230530_soc0p_ch, 2023-08-04T02:50:28,  87288528.123, 0.100,   1,  405720, 0,  1,  0,  0, 23.625,13.254,    -0.657,    -0.657,    -0.046,13.30964,    13.79450,-0.01298,13.28530,13.29285,  -0.007095, 0.97737,0.85896,0.97737,0.01400,23.625,
g20230530_soc0p_ch, 2023-08-04T02:50:33,  87288533.126, 0.100,   1,  405720, 0,  1,  0,  0, 23.625,13.245,    -0.727,    -0.727,    -0.046,13.30964,    13.79450,-0.01391,13.27762,13.29283,  -0.002777, 0.97736,0.85887,0.97736,0.01400,23.625,
g20230530_soc0p_ch, 2023-08-04T02:50:38,  87288538.126, 0.100,   1,  405720, 0,  1,  0,  0, 23.625,13.258,    -0.657,    -0.657,    -0.047,13.30964,    13.79450,-0.01292,13.28956,13.29283,  -0.008044, 0.97735,0.85885,0.97735,0.01400,23.625,
g20230530_soc0p_ch, 2023-08-04T02:50:43,  87288543.129, 0.099,   1,  405720, 0,  1,  0,  0, 23.625,13.245,    -0.623,    -0.623,    -0.047,13.30964,    13.79450,-0.01243,13.27616,13.29282,  -0.008040, 0.97735,0.85880,0.97735,0.01400,23.625,
g20230530_soc0p_ch, 2023-08-04T02:50:48,  87288548.132, 0.100,   1,  405720, 0,  1,  0,  0, 23.625,13.262,    -0.588,    -0.588,    -0.047,13.30963,    13.79450,-0.01194,13.29290,13.29281,  -0.016644, 0.97734,0.85870,0.97734,0.01400,23.625,
g20230530_soc0p_ch, 2023-08-04T02:50:53,  87288553.134, 0.101,   1,  405720, 0,  1,  0,  0, 23.625,13.262,    -0.657,    -0.657,    -0.047,13.30963,    13.79450,-0.01290,13.29387,13.29280,  -0.003246, 0.97733,0.85869,0.97733,0.01400,23.625,
g20230530_soc0p_ch, 2023-08-04T02:50:58,  87288558.138, 0.099,   1,  405720, 0,  1,  0,  0, 23.625,13.262,    -0.692,    -0.692,    -0.047,13.30963,    13.79450,-0.01335,13.29433,13.29280,  -0.012357, 0.97732,0.85863,0.97732,0.01400,23.625,
g20230530_soc0p_ch, 2023-08-04T02:51:03,  87288563.141, 0.100,   1,  405720, 0,  1,  0,  0, 23.625,13.245,    -0.692,    -0.692,    -0.047,13.30963,    13.79450,-0.01333,13.27710,13.29278,  -0.016638, 0.97731,0.85845,0.97731,0.01400,23.625,
g20230530_soc0p_ch, 2023-08-04T02:51:08,  87288568.141, 0.099,   1,  405720, 0,  1,  0,  0, 23.625,13.241,    -0.623,    -0.623,    -0.047,13.30963,    13.79450,-0.01237,13.27184,13.29276,  -0.007993, 0.97731,0.85840,0.97731,0.01400,23.625,
g20230530_soc0p_ch, 2023-08-04T02:51:13,  87288573.143, 0.101,   1,  405720, 0,  1,  0,  0, 23.625,13.258,    -0.623,    -0.623,    -0.047,13.30963,    13.79450,-0.01239,13.28909,13.29276,   0.000638, 0.97730,0.85838,0.97730,0.01400,23.625,
g20230530_soc0p_ch, 2023-08-04T02:51:18,  87288578.147, 0.100,   1,  405720, 0,  1,  0,  0, 23.625,13.267,    -0.623,    -0.623,    -0.047,13.30963,    13.79450,-0.01239,13.29771,13.29275,  -0.015628, 0.97729,0.85829,0.97729,0.01400,23.625,
g20230530_soc0p_ch, 2023-08-04T02:51:23,  87288583.149, 0.101,   1,  405720, 0,  1,  0,  0, 23.625,13.262,    -0.692,    -0.692,    -0.047,13.30963,    13.79450,-0.01333,13.29435,13.29274,   0.001608, 0.97728,0.85825,0.97728,0.01400,23.625,
g20230530_soc0p_ch, 2023-08-04T02:51:28,  87288588.153, 0.100,   1,  405720, 0,  1,  0,  0, 23.625,13.258,    -0.657,    -0.657,    -0.047,13.30963,    13.79450,-0.01285,13.28958,13.29274,  -0.003634, 0.97727,0.85822,0.97727,0.01400,23.625,
g20230530_soc0p_ch, 2023-08-04T02:51:33,  87288593.155, 0.101,   1,  405720, 0,  1,  0,  0, 23.625,13.245,    -0.657,    -0.657,    -0.047,13.30962,    13.79450,-0.01287,13.27669,13.29272,  -0.016030, 0.97727,0.85808,0.97727,0.01400,23.625,
g20230530_soc0p_ch, 2023-08-04T02:51:38,  87288598.155, 0.100,   1,  405720, 0,  1,  0,  0, 23.625,13.258,    -0.623,    -0.623,    -0.047,13.30962,    13.79450,-0.01240,13.28915,13.29271,  -0.011208, 0.97726,0.85801,0.97726,0.01400,23.625,
