unit,               hm,                  cTime,        dt,       sat,sel,mod,      Tb,  vb,  ib,  ioc,  voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,ib_lag,
mon_rep230827,2023-08-27T14:34:54,  0.000,  5.003,0,0,0, 24.120, 13.284, -0.205, -0.030, 13.293, 13.796, -0.004, 13.300, 13.292,  0.008,  0.862,  0.853,  0.862,-0.20500,
mon_rep230827,2023-08-27T14:34:59,  5.003,  5.003,0,0,0, 24.120, 13.284, -0.205, -0.030, 13.293, 13.796, -0.004, 13.300, 13.292,  0.008,  0.862,  0.853,  0.862,-0.20500,
mon_rep230827,2023-08-27T14:35:04, 10.006,  5.003,0,0,0, 24.120, 13.280, -0.205, -0.030, 13.293, 13.796, -0.004, 13.296, 13.292,  0.004,  0.862,  0.853,  0.862,-0.20500,
mon_rep230827,2023-08-27T14:35:09, 15.009,  5.003,0,0,0, 24.120, 13.280, -0.205, -0.030, 13.293, 13.796, -0.004, 13.296, 13.292,  0.004,  0.862,  0.853,  0.862,-0.20500,
mon_rep230827,2023-08-27T14:35:14, 20.009,  5.000,0,0,0, 24.120, 13.284, -0.205, -0.030, 13.293, 13.796, -0.004, 13.300, 13.292,  0.008,  0.862,  0.853,  0.862,-0.20500,
mon_rep230827,2023-08-27T14:35:19, 25.011,  5.002,0,0,0, 24.120, 13.275, -0.205, -0.030, 13.293, 13.796, -0.004, 13.291, 13.292, -0.001,  0.862,  0.853,  0.862,-0.20500,
mon_rep230827,2023-08-27T14:35:24, 30.014,  5.003,0,0,0, 24.120, 13.280, -0.205, -0.030, 13.293, 13.796, -0.004, 13.296, 13.292,  0.004,  0.862,  0.853,  0.862,-0.20500,
mon_rep230827,2023-08-27T14:35:29, 35.017,  5.003,0,0,0, 24.120, 13.288, -0.205, -0.030, 13.293, 13.796, -0.004, 13.304, 13.292,  0.012,  0.862,  0.853,  0.862,-0.20500,
mon_rep230827,2023-08-27T14:35:34, 40.021,  5.004,0,0,0, 24.120, 13.284, -0.205, -0.030, 13.293, 13.796, -0.004, 13.300, 13.292,  0.008,  0.862,  0.853,  0.862,-0.20500,
mon_rep230827,2023-08-27T14:35:39, 45.024,  5.003,0,0,0, 24.120, 13.284, -0.205, -0.030, 13.293, 13.796, -0.004, 13.300, 13.292,  0.008,  0.862,  0.853,  0.862,-0.20500,
