unit,               hm,                  cTime,        dt,       sat,sel,mod,      Tb,  vb,  ib,  ioc,  voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,sat_lag,ib_lag,
mon_rep230820,2023-08-20T15:34:56,  0.000,  5.000,1,0,0, 24.438, 14.537, -0.031,-14.978, 14.700, 13.798, -0.001, 14.598, 14.586,  0.012,  1.000,  0.999,  1.000,1.00000,-0.03100,
mon_rep230820,2023-08-20T15:35:01,  5.000,  5.000,1,0,0, 24.438, 14.524, -0.031,-15.000, 14.700, 13.798, -0.001, 14.585, 14.587, -0.002,  1.000,  0.999,  1.000,1.00000,-0.03100,
mon_rep230820,2023-08-20T15:35:06,  9.999,  4.999,1,0,0, 24.438, 14.515, -0.066,-15.000, 14.700, 13.798, -0.001, 14.576, 14.586, -0.010,  1.000,  0.999,  1.000,1.00000,-0.03105,
mon_rep230820,2023-08-20T15:35:11, 14.999,  5.000,1,0,0, 24.438, 14.515, -0.066,-15.000, 14.700, 13.798, -0.001, 14.576, 14.584, -0.008,  1.000,  0.999,  1.000,1.00000,-0.03114,
mon_rep230820,2023-08-20T15:35:16, 20.000,  5.001,1,0,0, 24.438, 14.511, -0.066,-15.000, 14.700, 13.798, -0.001, 14.572, 14.582, -0.009,  1.000,  0.999,  1.000,1.00000,-0.03123,
mon_rep230820,2023-08-20T15:35:21, 25.000,  5.000,1,0,0, 24.438, 14.524, -0.066,-15.000, 14.700, 13.798, -0.001, 14.585, 14.579,  0.006,  1.000,  0.999,  1.000,1.00000,-0.03133,
mon_rep230820,2023-08-20T15:35:26, 30.000,  5.000,1,0,0, 24.438, 14.524, -0.066,-15.000, 14.700, 13.798, -0.001, 14.585, 14.581,  0.005,  1.000,  0.999,  1.000,1.00000,-0.03142,
mon_rep230820,2023-08-20T15:35:31, 34.999,  4.999,1,0,0, 24.438, 14.511, -0.066,-15.000, 14.699, 13.798, -0.001, 14.572, 14.582, -0.010,  1.000,  0.999,  1.000,1.00000,-0.03151,
mon_rep230820,2023-08-20T15:35:36, 39.999,  5.000,1,0,0, 24.438, 14.494, -0.066,-15.000, 14.699, 13.798, -0.001, 14.555, 14.579, -0.023,  1.000,  0.999,  1.000,1.00000,-0.03160,
mon_rep230820,2023-08-20T15:35:41, 44.999,  5.000,1,0,0, 24.438, 14.498, -0.066,-15.000, 14.699, 13.798, -0.001, 14.559, 14.571, -0.012,  1.000,  0.999,  1.000,1.00000,-0.03169,
