=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.06.16 15:33:24 =~=~=~=~=~=~=~=~=~=~=~=
v1;echo: v1, 4
echo: v1, 0
sp.debug 0 to 1
unit,               hm,                  cTime,       dt,       chm,qcrs,sat,sel,mod,bmso, Tb,  vb,  ib,   ib_charge, ioc, voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,soc_min,
g20230530_pro1a_bb, 2023-03-20T02:24:48,  75520391.353, 0.100,   0,  360000, 0,  0,  247,  0, 25.0,13.080,     0.000,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,0.02500,
g20230530_pro1a_bb, 2023-03-20T02:24:48,  75520391.753, 0.100,   0,  360000, 0,  0,  247,  0, 25.0,13.080,     0.000,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,0.02500,
vg20230530_pro1a_bb, 2023-03-20T02:24:48,  75520392.164, 0.089,   0,  360000, 0,  0,  247,  0, 25.0,13.080,     0.000,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,0.02500,
0g20230530_pro1a_bb, 2023-03-20T02:24:49,  75520392.553, 0.100,   0,  360000, 0,  0,  247,  0, 25.0,13.080,     0.000,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,0.02500,
g20230530_pro1a_bb, 2023-03-20T02:24:49,  75520392.953, 0.100,   0,  360000, 0,  0,  247,  0, 25.0,13.080,     0.000,     0.000,     0.000,13.08000,    13.80000,0.00000,13.08000,13.08000,   0.000000, 0.50000,0.50000,0.50000,0.02500,
;echo: v0, 4
echo: v0, 0
sp.debug 1 to 0
