=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.01.25 16:13:48 =~=~=~=~=~=~=~=~=~=~=~=


saved (sp) diffs
 Modeling bitmap              1 ->       247,       [0x] (* Xm)
Reset to defaults? [Y/n]:n N.  moving on...

End setup()

Ib Amp sense ADC pin 13 started using TSC2010
Ib No Amp sense ADC pin 11 started using TSC2010
DS18 1-wire Tb started
Vb sense ADC pin started
Shunt dt(): sample_time_ 30122 sample_time_z_ 30022
Shunt dt(): sample_time_ 30222 sample_time_z_ 30122
Shunt dt(): sample_time_ 30322 sample_time_z_ 30222
Shunt dt(): sample_time_ 30422 sample_time_z_ 30322
Shunt dt(): sample_time_ 30522 sample_time_z_ 30422
Shunt dt(): sample_time_ 30622 sample_time_z_ 30522
Shunt dt(): sample_time_ 30722 sample_time_z_ 30622
Shunt dt(): sample_time_ 30822 sample_time_z_ 30722
Shunt dt(): sample_time_ 30922 sample_time_z_ 30822
Shunt dt(): sample_time_ 31022 sample_time_z_ 30922
Shunt dt(): sample_time_ 31122 sample_time_z_ 31022
Shunt dt(): sample_time_ 31222 sample_time_z_ 31122
Shunt dt(): sample_time_ 31322 sample_time_z_ 31222
Shunt dt(): sample_time_ 31422 sample_time_z_ 31322
Shunt dt(): sample_time_ 31522 sample_time_z_ 31422
Shunt dt(): sample_time_ 31622 sample_time_z_ 31522
Shunt dt(): sample_time_ 31722 sample_time_z_ 31622
Shunt dt(): sample_time_ 31822 sample_time_z_ 31722
Shunt dt(): sample_time_ 31922 sample_time_z_ 31822
Shunt dt(): sample_time_ 32022 sample_time_z_ 31922
Shunt dt(): sample_time_ 32122 sample_time_z_ 32022
Shunt dt(): sample_time_ 32222 sample_time_z_ 32122
Shunt dt(): sample_time_ 32322 sample_time_z_ 32222
Shunt dt(): sample_time_ 32422 sample_time_z_ 32322
Shunt dt(): sample_time_ 32522 sample_time_z_ 32422
Shunt dt(): sample_time_ 32622 sample_time_z_ 32522
Shunt dt(): sample_time_ 32722 sample_time_z_ 32622
Shunt dt(): sample_time_ 32822 sample_time_z_ 32722
Shunt dt(): sample_time_ 32922 sample_time_z_ 32822
DShunt dt(): sample_time_ 33022 sample_time_z_ 32922
Shunt dt(): sample_time_ 33122 sample_time_z_ 33022
Shunt dt(): sample_time_ 33222 sample_time_z_ 33122
Shunt dt(): sample_time_ 33322 sample_time_z_ 33222
Shunt dt(): sample_time_ 33422 sample_time_z_ 33322
rShunt dt(): sample_time_ 33522 sample_time_z_ 33422
Shunt dt(): sample_time_ 33622 sample_time_z_ 33522
Shunt dt(): sample_time_ 33722 sample_time_z_ 33622
Shunt dt(): sample_time_ 33822 sample_time_z_ 33722
Shunt dt(): sample_time_ 33922 sample_time_z_ 33822
Shunt dt(): sample_time_ 34022 sample_time_z_ 33922
Shunt dt(): sample_time_ 34122 sample_time_z_ 34022
Shunt dt(): sample_time_ 34222 sample_time_z_ 34122
Shunt dt(): sample_time_ 34322 sample_time_z_ 34222
Shunt dt(): sample_time_ 34422 sample_time_z_ 34322
