unit,               hm,                  cTime,       dt,       chm,qcrs,sat,sel,mod,bmso, Tb,  vb,  ib,   ib_charge, ioc, voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,soc_min,
pro1a_20230403, 2023-03-18T14:35:52,        20.308, 0.100,   0,  360000, 1,  0,  255,  0, 25.0,14.200,     0.000,     0.000,   -23.077,14.50000,    13.80000,0.00000,14.50000,14.49988,   0.000121, 1.00000,1.00000,1.00000,0.02500,
pro1a_20230403, 2023-03-18T14:35:52,        20.413, 0.105,   0,  360000, 1,  0,  255,  0, 25.0,14.200,     0.000,     0.000,   -23.077,14.50000,    13.80000,0.00000,14.50000,14.49988,   0.000121, 1.00000,1.00000,1.00000,0.02500,
pro1a_20230403, 2023-03-18T14:35:52,        20.513, 0.100,   0,  360000, 1,  0,  255,  0, 25.0,14.200,     0.000,     0.000,   -23.077,14.50000,    13.80000,0.00000,14.50000,14.49988,   0.000121, 1.00000,1.00000,1.00000,0.02500,
pro1a_20230403, 2023-03-18T14:35:52,        20.613, 0.100,   0,  360000, 1,  0,  255,  0, 25.0,14.200,     0.000,     0.000,   -23.077,14.50000,    13.80000,0.00000,14.50000,14.49988,   0.000121, 1.00000,1.00000,1.00000,0.02500,
pro1a_20230403, 2023-03-18T14:35:52,        20.713, 0.100,   0,  360000, 1,  0,  255,  0, 25.0,14.200,     0.000,     0.000,   -23.077,14.50000,    13.80000,0.00000,14.50000,14.49988,   0.000121, 1.00000,1.00000,1.00000,0.02500,
pro1a_20230403, 2023-03-18T14:35:52,        20.813, 0.100,   0,  360000, 1,  0,  255,  0, 25.0,14.200,     0.000,     0.000,   -23.077,14.50000,    13.80000,0.00000,14.50000,14.49988,   0.000121, 1.00000,1.00000,1.00000,0.02500,
pro1a_20230403, 2023-03-18T14:35:53,        20.913, 0.100,   0,  360000, 1,  0,  255,  0, 25.0,14.200,     0.000,     0.000,   -23.077,14.50000,    13.80000,0.00000,14.50000,14.49990,   0.000102, 1.00000,1.00000,1.00000,0.02500,
pro1a_20230403, 2023-03-18T14:35:53,        21.013, 0.100,   0,  360000, 1,  0,  255,  0, 25.0,14.200,     0.000,     0.000,   -23.077,14.50000,    13.80000,0.00000,14.50000,14.49990,   0.000102, 1.00000,1.00000,1.00000,0.02500,
pro1a_20230403, 2023-03-18T14:35:53,        21.113, 0.100,   0,  360000, 1,  0,  255,  0, 25.0,14.200,     0.000,     0.000,   -23.077,14.50000,    13.80000,0.00000,14.50000,14.49990,   0.000102, 1.00000,1.00000,1.00000,0.02500,
pro1a_20230403, 2023-03-18T14:35:53,        21.213, 0.100,   0,  360000, 1,  0,  255,  0, 25.0,14.200,     0.000,     0.000,   -23.077,14.50000,    13.80000,0.00000,14.50000,14.49990,   0.000102, 1.00000,1.00000,1.00000,0.02500,
pro1a_20230403, 2023-03-18T14:35:53,        21.313, 0.100,   0,  360000, 1,  0,  255,  0, 25.0,14.200,     0.000,     0.000,   -23.077,14.50000,    13.80000,0.00000,14.50000,14.49990,   0.000102, 1.00000,1.00000,1.00000,0.02500,
pro1a_20230403, 2023-03-18T14:35:53,        21.413, 0.100,   0,  360000, 1,  0,  255,  0, 25.0,14.200,     0.000,     0.000,   -23.077,14.50000,    13.80000,0.00000,14.50000,14.49990,   0.000102, 1.00000,1.00000,1.00000,0.02500,
pro1a_20230403, 2023-03-18T14:35:53,        21.513, 0.100,   0,  360000, 1,  0,  255,  0, 25.0,14.200,     0.000,     0.000,   -23.077,14.50000,    13.80000,0.00000,14.50000,14.49990,   0.000102, 1.00000,1.00000,1.00000,0.02500,
pro1a_20230403, 2023-03-18T14:35:53,        21.613, 0.100,   0,  360000, 1,  0,  255,  0, 25.0,14.200,     0.000,     0.000,   -23.077,14.50000,    13.80000,0.00000,14.50000,14.49990,   0.000102, 1.00000,1.00000,1.00000,0.02500,
