soc=  1.000, modeling = 7, delta_q=  0.000, soc_model=  1.0000,   delta_q_model=  0.000, soc_ekf=  1.0000, delta_q_ekf=  0.000,
soft reset...
ReadSensors from 100 to 100
100
modeling from 7 to 7
Modeling is 7
tweak_test is 0
mod_ib is 1
mod_vb is 1
mod_tb is 1
Small reset. Filters reinit
soft reset...
ShuntAmp.add from -500.000 to -500.000
ShuntNoAmp.add from   0.001 to   0.001
unit_sel, 52587490.332, 0, 0,    0, 0,      -0.000086, 0,   -500.00000,0.00100,-500.00000,0.00100,0.00000,   -500.00101, 1, 1,     1, -500.00000,-500.00000, 1, -500.00000,    13.44342,10.13088, 1, 10.13088,    0.00,25.00, 1, 25.00, 
unit,               hm,                  cTime,       dt,       sat,sel,mod,  Tb,  Vb,  Ib,        Vsat,dV_dyn,Voc_stat,Voc_ekf,     y_ekf,    soc_m,soc_ekf,soc,,
unit_sel,c_time,res,user_sel,   m_bare,n_bare,  cc_dif,cc_flt,  ibmh,ibnh,ibmm,ibnm,ibm,                     ib_dif,ib_dif_flt,ib_dif_fa,  ib_sel,Ib_h,Ib_m,mib,Ib,            Vb_h,Vb_m,mvb,Vb,                  Tb_h,Tb,mtb,Tb_f,
unit_sel, 52587491.432, 0, 0,    0, 0,       0.000104, 0,   -500.00000,0.00100,-500.00000,0.00100,0.00000,   -500.00101, 1, 1,     1, -500.00000,-500.00000, 1, -500.00000,    13.44773,10.73329, 1, 10.73329,    0.00,25.00, 1, 25.00, 
pro_20220723, 2022-07-30T08:08:05,  52587491.432, 0.100,   1,  0,  7,  25.00,10.73329,-500.00000,    13.80000,-6.15000,16.88504,14.31108,   2.573961, 1.00000,0.99847,0.99833,
unit_sel, 52587491.532, 0, 0,    0, 0,       0.000137, 0,   -500.00000,0.00100,-500.00000,0.00100,0.00000,   -500.00101, 1, 1,     1, -500.00000,-500.00000, 1, -500.00000,    13.44342,10.73800, 1, 10.73800,    0.00,25.00, 1, 25.00, 
pro_20220723, 2022-07-30T08:08:05,  52587491.532, 0.100,   1,  0,  7,  25.00,10.73800,-500.00000,    13.80000,-6.15000,16.88989,14.29618,   2.593704, 1.00000,0.99837,0.99819,
unit_sel, 52587491.632, 0, 0,    0, 0,       0.000171, 0,   -500.00000,0.00100,-500.00000,0.00100,0.00000,   -500.00101, 1, 1,     1, -500.00000,-500.00000, 1, -500.00000,    13.43912,10.74263, 1, 10.74263,    0.00,25.00, 1, 25.00, 
pro_20220723, 2022-07-30T08:08:05,  52587491.632, 0.100,   1,  0,  7,  25.00,10.74263,-500.00000,    13.80000,-6.15000,16.89466,14.28160,   2.613057, 1.00000,0.99826,0.99806,
unit_sel, 52587491.732, 0, 0,    0, 0,       0.000208, 0,   -500.00000,0.00100,-500.00000,0.00100,0.00000,   -500.00101, 1, 1,     1, -500.00000,-500.00000, 1, -500.00000,    13.44342,10.74723, 1, 10.74723,    0.00,25.00, 1, 25.00, 
pro_20220723, 2022-07-30T08:08:05,  52587491.732, 0.100,   1,  0,  7,  25.00,10.74723,-500.00000,    13.80000,-6.15000,16.89940,14.26735,   2.632044, 1.00000,0.99816,0.99792,
unit_sel, 52587491.832, 0, 0,    0, 0,       0.000248, 0,   -500.00000,0.00100,-500.00000,0.00100,0.00000,   -500.00101, 1, 1,     1, -500.00000,-500.00000, 1, -500.00000,    13.44342,10.75180, 1, 10.75180,    0.00,25.00, 1, 25.00, 
pro_20220723, 2022-07-30T08:08:05,  52587491.832, 0.100,   1,  0,  7,  25.00,10.75180,-500.00000,    13.80000,-6.15000,16.90411,14.25340,   2.650710, 1.00000,0.99807,0.99778,
unit_sel, 52587491.932, 0, 0,    0, 0,       0.000289, 0,   -500.00000,0.00100,-500.00000,0.00100,0.00000,   -500.00101, 1, 1,     1, -500.00000,-500.00000, 1, -500.00000,    13.44773,10.75636, 1, 10.75636,    0.00,25.00, 1, 25.00, 
pro_20220723, 2022-07-30T08:08:05,  52587491.932, 0.100,   1,  0,  7,  25.00,10.75636,-500.00000,    13.80000,-6.15000,16.90881,14.23975,   2.669062, 1.00000,0.99797,0.99764,
unit_sel, 52587492.032, 0, 0,    0, 0,       0.000333, 0,   -500.00000,0.00100,-500.00000,0.00100,0.00000,   -500.00101, 1, 1,     1, -500.00000,-500.00000, 1, -500.00000,    13.44773,10.76091, 1, 10.76091,    0.00,25.00, 1, 25.00, 
pro_20220723, 2022-07-30T08:08:05,  52587492.032, 0.100,   1,  0,  7,  25.00,10.76091,-500.00000,    13.80000,-6.15000,16.91350,14.22640,   2.687096, 1.00000,0.99788,0.99750,
unit_sel, 52587492.132, 0, 0,    0, 0,       0.000378, 0,   -500.00000,0.00100,-500.00000,0.00100,0.00000,   -500.00101, 1, 1,     1, -500.00000,-500.00000, 1, -500.00000,    13.44773,10.76546, 1, 10.76546,    0.00,25.00, 1, 25.00, 
pro_20220723, 2022-07-30T08:08:05,  52587492.132, 0.100,   1,  0,  7,  25.00,10.76546,-500.00000,    13.80000,-6.15000,16.91818,14.21335,   2.704836, 1.00000,0.99779,0.99736,
unit_sel, 52587492.232, 0, 0,    0, 0,       0.000426, 0,   -500.00000,0.00100,-500.00000,0.00100,0.00000,   -500.00101, 1, 1,     1, -500.00000,-500.00000, 1, -500.00000,    13.44773,10.76999, 1, 10.76999,    0.00,25.00, 1, 25.00, 
