unit,               hm,                  cTime,       dt,       sat,sel,mod,  Tb,  Vb,  Ib,        Vsat,Vdyn,Voc,Voc_ekf,     y_ekf,    soc_m,soc_ekf,soc,soc_wt,
pro_20220623, 2022-06-24T09:55:50,  49445757.351, 0.100,   1,  0,  7,  25.0,14.537,  0.000,    13.800, 0.000,14.537,14.530,   0.007239, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:55:51,  49445758.352, 0.110,   1,  0,  7,  25.0,14.537,  0.000,    13.800, 0.000,14.537,14.530,   0.007374, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:55:52,  49445759.351, 0.100,   1,  0,  7,  25.0,14.538,  0.000,    13.800, 0.000,14.538,14.530,   0.007501, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:55:53,  49445760.351, 0.100,   1,  0,  7,  25.0,14.538,  0.000,    13.800, 0.000,14.538,14.530,   0.007638, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:55:54,  49445761.351, 0.100,   1,  0,  7,  25.0,14.538,  0.000,    13.800, 0.000,14.538,14.530,   0.007776, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:55:55,  49445762.351, 0.100,   1,  0,  7,  25.0,14.538,  0.000,    13.800, 0.000,14.538,14.530,   0.007913, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:55:56,  49445763.351, 0.100,   1,  0,  7,  25.0,14.538,  0.000,    13.800, 0.000,14.538,14.530,   0.008050, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:55:57,  49445764.351, 0.100,   1,  0,  7,  25.0,14.538,  0.000,    13.800, 0.000,14.538,14.530,   0.008188, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:55:58,  49445765.351, 0.100,   1,  0,  7,  25.0,14.538,  0.000,    13.800, 0.000,14.538,14.530,   0.008326, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:55:59,  49445766.351, 0.100,   1,  0,  7,  25.0,14.538,  0.000,    13.800, 0.000,14.538,14.530,   0.008463, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:56:00,  49445767.352, 0.100,   1,  0,  7,  25.0,14.539,  0.000,    13.800, 0.000,14.539,14.530,   0.008600, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:56:01,  49445768.352, 0.100,   1,  0,  7,  25.0,14.539,  0.000,    13.800, 0.000,14.539,14.530,   0.008738, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:56:02,  49445769.352, 0.100,   1,  0,  7,  25.0,14.539,  0.000,    13.800, 0.000,14.539,14.530,   0.008875, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:56:03,  49445770.351, 0.100,   1,  0,  7,  25.0,14.539,  0.000,    13.800, 0.000,14.539,14.530,   0.009012, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:56:04,  49445771.351, 0.100,   1,  0,  7,  25.0,14.539,  0.000,    13.800, 0.000,14.539,14.530,   0.009115, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:56:05,  49445772.351, 0.100,   1,  0,  7,  25.0,14.539,  0.000,    13.800, 0.000,14.539,14.530,   0.009142, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:56:06,  49445773.352, 0.100,   1,  0,  7,  25.0,14.539,  0.000,    13.800, 0.000,14.539,14.530,   0.009168, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:56:07,  49445774.351, 0.100,   1,  0,  7,  25.0,14.539,  0.000,    13.800, 0.000,14.539,14.530,   0.009195, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:56:08,  49445775.351, 0.100,   1,  0,  7,  25.0,14.539,  0.000,    13.800, 0.000,14.539,14.530,   0.009220, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:56:09,  49445776.351, 0.100,   1,  0,  7,  25.0,14.539,  0.000,    13.800, 0.000,14.539,14.530,   0.009246, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:56:10,  49445777.352, 0.100,   1,  0,  7,  25.0,14.539,  0.000,    13.800, 0.000,14.539,14.530,   0.009273, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:56:11,  49445778.351, 0.100,   1,  0,  7,  25.0,14.539,  0.000,    13.800, 0.000,14.539,14.530,   0.009299, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:56:12,  49445779.352, 0.100,   1,  0,  7,  25.0,14.539,  0.000,    13.800, 0.000,14.539,14.530,   0.009324, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:56:13,  49445780.352, 0.100,   1,  0,  7,  25.0,14.539,  0.000,    13.800, 0.000,14.539,14.530,   0.009351, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:56:14,  49445781.351, 0.100,   1,  0,  7,  25.0,14.539,  0.000,    13.800, 0.000,14.539,14.530,   0.009377, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:56:15,  49445782.351, 0.100,   1,  0,  7,  25.0,14.539,  0.000,    13.800, 0.000,14.539,14.530,   0.009403, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:56:16,  49445783.352, 0.100,   1,  0,  7,  25.0,14.540,  0.000,    13.800, 0.000,14.540,14.530,   0.009681, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:56:17,  49445784.351, 0.100,   1,  0,  7,  25.0,14.540,  0.000,    13.800, 0.000,14.540,14.530,   0.009955, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:56:18,  49445785.351, 0.100,   1,  0,  7,  25.0,14.540,  0.000,    13.800, 0.000,14.540,14.530,   0.010231, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:56:19,  49445786.351, 0.100,   1,  0,  7,  25.0,14.541,  0.000,    13.800, 0.000,14.541,14.530,   0.010507, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:56:20,  49445787.351, 0.100,   1,  0,  7,  25.0,14.541,  0.000,    13.800, 0.000,14.541,14.530,   0.010782, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:56:21,  49445788.351, 0.100,   1,  0,  7,  25.0,14.541,  0.000,    13.800, 0.000,14.541,14.530,   0.011058, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:56:22,  49445789.351, 0.100,   1,  0,  7,  25.0,14.541,  0.000,    13.800, 0.000,14.541,14.530,   0.011335, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:56:23,  49445790.351, 0.100,   1,  0,  7,  25.0,14.542,  0.000,    13.800, 0.000,14.542,14.530,   0.011610, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:56:24,  49445791.351, 0.100,   1,  0,  7,  25.0,14.542,  0.000,    13.800, 0.000,14.542,14.530,   0.011886, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:56:25,  49445792.352, 0.100,   1,  0,  7,  25.0,14.542,  0.000,    13.800, 0.000,14.542,14.530,   0.012161, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:56:26,  49445793.351, 0.100,   1,  0,  7,  25.0,14.542,  0.000,    13.800, 0.000,14.542,14.530,   0.012437, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:56:27,  49445794.351, 0.100,   1,  0,  7,  25.0,14.543,  0.000,    13.800, 0.000,14.543,14.530,   0.012713, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:56:28,  49445795.351, 0.100,   1,  0,  7,  25.0,14.543,  0.000,    13.800, 0.000,14.543,14.530,   0.012987, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:56:29,  49445796.351, 0.100,   1,  0,  7,  25.0,14.543,  0.000,    13.800, 0.000,14.543,14.530,   0.013263, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:56:30,  49445797.351, 0.100,   1,  0,  7,  25.0,14.544,  0.000,    13.800, 0.000,14.544,14.530,   0.013539, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:56:31,  49445798.351, 0.100,   1,  0,  7,  25.0,14.544,  0.000,    13.800, 0.000,14.544,14.530,   0.013814, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:56:32,  49445799.351, 0.100,   1,  0,  7,  25.0,14.544,  0.000,    13.800, 0.000,14.544,14.530,   0.014089, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:56:33,  49445800.351, 0.100,   1,  0,  7,  25.0,14.544,  0.000,    13.800, 0.000,14.544,14.530,   0.014364, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:56:34,  49445801.352, 0.100,   1,  0,  7,  25.0,14.545,  0.000,    13.800, 0.000,14.545,14.530,   0.014639, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:56:35,  49445802.351, 0.100,   1,  0,  7,  25.0,14.545,  0.000,    13.800, 0.000,14.545,14.530,   0.014915, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:56:36,  49445803.352, 0.100,   1,  0,  7,  25.0,14.545,  0.000,    13.800, 0.000,14.545,14.530,   0.015189, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:56:37,  49445804.351, 0.100,   1,  0,  7,  25.0,14.545,  0.000,    13.800, 0.000,14.545,14.530,   0.015465, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:56:38,  49445805.351, 0.100,   1,  0,  7,  25.0,14.546,  0.000,    13.800, 0.000,14.546,14.530,   0.015740, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:56:39,  49445806.352, 0.100,   1,  0,  7,  25.0,14.546,  0.000,    13.800, 0.000,14.546,14.530,   0.016014, 1.0000,1.0000,1.0000,1.0000,
pro_20220623, 2022-06-24T09:56:40,  49445807.351, 0.100,   1,  0,  7,  25.0,14.546,  0.000,    13.800, 0.000,14.546,14.530,   0.016290, 1.0000,1.0000,1.0000,1.0000,
