20:18:16 Connecting to HC-06 ...
20:18:18 Connected
20:18:18  23 13.35   -0.3   Tb,C  VOC,V  Ib,A 
20:18:18 102 ---  103   EKF,Ah  chg,hrs  CC, Ah
20:18:18 v-2;Pf; for fails.  prints=6
20:18:18 
20:18:19  23 13.35   -0.3   Tb,C  VOC,V  Ib,A 
20:18:19 102 ---  103   EKF,Ah  chg,hrs  CC, Ah
20:18:19 v-2;Pf; for fails.  prints=6
20:18:19 
20:18:21  23 13.35   -0.3   Tb,C  VOC,V  Ib,A 
20:18:21 102 ---  103   EKF,Ah  chg,hrs  CC, Ah
20:18:21 v-2;Pf; for fails.  prints=6
20:18:21 
20:18:22  23 13.35   -0.3   Tb,C  VOC,V  Ib,A 
20:18:22 102 ---  103   EKF,Ah  chg,hrs  CC, Ah
20:18:22 v-2;Pf; for fails.  prints=6
20:18:22 
20:18:23  23 13.35   -0.3   Tb,C  VOC,V  Ib,A 
20:18:23 102 ---  103   EKF,Ah  chg,hrs  CC, Ah
20:18:23 v-2;Pf; for fails.  prints=6
20:18:23 
20:18:24  23 13.35   -0.3   Tb,C  VOC,V  Ib,A 
20:18:24 102 ---  103   EKF,Ah  chg,hrs  CC, Ah
20:18:24 v-2;Pf; for fails.  prints=6
20:18:24 
20:18:25  23 13.35   -0.3   Tb,C  VOC,V  Ib,A 
20:18:25 102 ---  103   EKF,Ah  chg,hrs  CC, Ah
20:18:25 v-2;Pf; for fails.  prints=6
20:18:25 
20:18:27  23 13.35   -0.3   Tb,C  VOC,V  Ib,A 
20:18:27 102 ---  103   EKF,Ah  chg,hrs  CC, Ah
20:18:27 v-2;Pf; for fails.  prints=6
20:18:27 
20:18:28  23 13.34   -0.3   Tb,C  VOC,V  Ib,A 
20:18:28 102 ---  103   EKF,Ah  chg,hrs  CC, Ah
20:18:28 v-2;Pf; for fails.  prints=6
20:18:28 
20:18:29  23 13.34   -0.3   Tb,C  VOC,V  Ib,A 
20:18:29 102 ---  103   EKF,Ah  chg,hrs  CC, Ah
20:18:29 v-2;Pf; for fails.  prints=6
20:18:29 
20:18:30  23 13.35   -0.3   Tb,C  VOC,V  Ib,A 
20:18:30 102 ---  103   EKF,Ah  chg,hrs  CC, Ah
20:18:30 v-2;Pf; for fails.  prints=6
20:18:30 
20:18:31  23 13.35   -0.3   Tb,C  VOC,V  Ib,A 
20:18:31 102 ---  103   EKF,Ah  chg,hrs  CC, Ah
20:18:31 v-2;Pf; for fails.  prints=6
20:18:31 
20:18:33  23 13.35   -0.3   Tb,C  VOC,V  Ib,A 
20:18:33 102 ---  103   EKF,Ah  chg,hrs  CC, Ah
20:18:33 v-2;Pf; for fails.  prints=6
20:18:33 
20:18:34  23 13.35   -0.3   Tb,C  VOC,V  Ib,A 
20:18:34 102 ---  103   EKF,Ah  chg,hrs  CC, Ah
20:18:34 v-2;Pf; for fails.  prints=6
20:18:34 
20:18:35  23 13.35   -0.3   Tb,C  VOC,V  Ib,A 
20:18:35 102 ---  103   EKF,Ah  chg,hrs  CC, Ah
20:18:35 v-2;Pf; for fails.  prints=6
20:18:35 
20:18:36  23 13.34   -0.3   Tb,C  VOC,V  Ib,A 
20:18:36 102 ---  103   EKF,Ah  chg,hrs  CC, Ah
20:18:36 v-2;Pf; for fails.  prints=6
20:18:36 
20:18:37  23 13.34   -0.3   Tb,C  VOC,V  Ib,A 
20:18:37 102 ---  103   EKF,Ah  chg,hrs  CC, Ah
20:18:37 v-2;Pf; for fails.  prints=6
20:18:37 
20:18:37 echo:  Hd, 4
20:18:37 echo:  Pf, 4
20:18:37 echo:  Hd, 0
20:18:37 unit_h, 2022-10-04T08:58:43, 1664888323,  12.437,  14.425,   0.398,  1.0000,  0.9997,  14.420,  14.414,   0.999000,   0.999000, 0,
20:18:37 unit_h, 2022-10-04T09:28:43, 1664890123,  13.312,  14.429,   0.263,  1.0000,  0.9996,  14.426,  14.421,   0.999000,   0.999000, 0,
20:18:37 unit_h, 2022-10-04T09:58:43, 1664891923,  14.187,  14.425,   0.330,  1.0000,  0.9996,  14.421,  14.418,   0.999000,   0.999000, 0,
20:18:37 unit_h, 2022-10-04T10:28:43, 1664893723,  14.812,  14.429,   0.263,  1.0000,  0.9996,  14.426,  14.422,   0.999000,   0.999000, 0,
20:18:37 unit_h, 2022-10-04T10:54:26, 1664895266,  15.312,  14.416,   0.330,  1.0000,  1.0000,  14.412,  14.613,   0.999000,   0.999000, 0,
20:18:37 unit_h, 2022-10-04T11:23:01, 1664896981,  15.812,  14.425,   0.263,  1.0000,  1.0000,  14.422,  14.622,   0.999000,   0.999000, 0,
20:18:37 unit_h, 2022-10-04T11:53:01, 1664898781,  16.312,  14.420,   0.330,  1.0000,  1.0000,  14.417,  14.617,   0.999000,   0.999000, 0,
20:18:37 unit_h, 2022-10-04T12:23:01, 1664900581,  16.750,  14.429,   0.263,  1.0000,  1.0000,  14.426,  14.626,   0.999000,   0.999000, 0,
20:18:37 unit_h, 2022-10-04T12:53:01, 1664902381,  17.000,  14.420,   0.263,  1.0000,  1.0000,  14.417,  14.617,   0.999000,   0.999000, 0,
20:18:37 unit_h, 2022-10-04T13:23:01, 1664904181,  17.187,  14.416,   0.330,  1.0000,  1.0000,  14.412,  14.613,   0.999000,   0.999000, 0,
20:18:37 unit_h, 2022-10-04T13:53:01, 1664905981,  17.375,  14.412,   0.197,  1.0000,  1.0000,  14.409,  14.609,   0.999000,   0.999000, 0,
20:18:38 unit_h, 2022-10-04T14:23:01, 1664907781,  17.562,  14.425,   0.330,  1.0000,  1.0000,  14.421,  14.621,   0.999000,   0.999000, 0,
20:18:38 unit_h, 2022-10-04T14:53:02, 1664909582,  17.750,  14.425,   0.263,  1.0000,  1.0000,  14.422,  14.622,   0.999000,   0.999000, 0,
20:18:38 unit_h, 2022-10-04T15:23:02, 1664911382,  17.937,  14.420,   0.330,  1.0000,  1.0000,  14.417,  14.617,   0.999000,   0.999000, 0,
20:18:38 unit_h, 2022-10-04T15:53:02, 1664913182,  18.000,  14.425,   0.263,  1.0000,  1.0000,  14.422,  14.622,   0.999000,   0.999000, 0,
20:18:38 unit_h, 2022-10-04T16:23:02, 1664914982,  18.125,  14.348,   0.130,  1.0000,  1.0000,  14.345,  14.545,   0.999000,   0.999000, 0,
20:18:38 unit_h, 2022-10-04T16:53:02, 1664916782,  17.993,  14.352,   0.130,  1.0000,  1.0000,  14.350,  14.550,   0.999000,   0.999000, 0,
20:18:38 unit_h, 2022-10-04T17:23:02, 1664918582,  17.493,  14.326,   0.130,  1.0000,  1.0000,  14.324,  14.524,   0.999000,   0.999000, 0,
20:18:38 unit_h, 2022-10-04T17:53:02, 1664920382,  17.057,  14.115,  -0.068,  0.9999,  0.9990,  14.116,  14.316,   0.999000,   0.999000, 0,
20:18:38 unit_h, 2022-10-04T18:23:02, 1664922182,  16.557,  13.883,  -0.137,  0.9999,  0.9974,  13.884,  14.084,   0.999000,   0.999000, 0,
20:18:38 unit_h, 2022-10-04T18:53:02, 1664923982,  16.182,  13.718,  -0.137,  0.9999,  0.9961,  13.720,  13.854,   0.999000,   0.999000, 0,
