unit,               hm,                  cTime,        T,       sat,sel,mod,  Tb,  Vb,  Ib,        Vsat,Vdyn,Voc,Voc_ekf,     y_ekf,    soc_m,soc_ekf,soc,soc_wt
pro_20220528, 2022-06-06T16:09:01,639.165,0.222,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0.000088,1,1,1,1
pro_20220528, 2022-06-06T16:09:01,639.268,0.103,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0.000052,1,1,1,1
pro_20220528, 2022-06-06T16:09:01,639.368,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0.000021,1,1,1,1
pro_20220528, 2022-06-06T16:09:01,639.468,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0.000012,1,1,1,1
pro_20220528, 2022-06-06T16:09:02,639.568,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0.000006,1,1,1,1
pro_20220528, 2022-06-06T16:09:02,639.668,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-06T16:09:02,639.768,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0.000006,1,1,1,1
pro_20220528, 2022-06-06T16:09:02,639.868,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-06T16:09:02,639.968,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-06T16:09:02,640.068,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-06T16:09:02,640.168,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-06T16:09:02,640.268,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-06T16:09:02,640.417,0.149,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-06T16:09:02,640.517,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0.000006,1,1,1,1
pro_20220528, 2022-06-06T16:09:02,640.617,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-06T16:09:02,640.717,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-06T16:09:03,640.817,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-06T16:09:03,640.917,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-06T16:09:03,641.017,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-06T16:09:03,641.117,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-06T16:09:03,641.217,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0.000006,1,1,1,1
pro_20220528, 2022-06-06T16:09:03,641.317,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-06T16:09:03,641.417,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-06T16:09:03,641.517,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-06T16:09:04,641.617,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-06T16:09:04,641.717,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-06T16:09:04,641.817,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-06T16:09:04,641.917,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0.000006,1,1,1,1
pro_20220528, 2022-06-06T16:09:04,642.017,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-06T16:09:04,642.117,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-06T16:09:04,642.217,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-06T16:09:04,642.317,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-06T16:09:04,642.417,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-06T16:09:04,642.517,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-06T16:09:04,642.617,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0.000006,1,1,1,1
pro_20220528, 2022-06-06T16:09:04,642.717,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-06T16:09:05,642.817,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-06T16:09:05,642.917,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-06T16:09:05,643.017,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-06T16:09:05,643.117,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-06T16:09:05,643.217,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-06T16:09:05,643.317,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0.000006,1,1,1,1
pro_20220528, 2022-06-06T16:09:05,643.417,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-06T16:09:05,643.517,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-06T16:09:06,643.617,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-06T16:09:06,643.717,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-06T16:09:06,643.817,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-06T16:09:06,643.917,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-06T16:09:06,644.017,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0.000006,1,1,1,1
pro_20220528, 2022-06-06T16:09:06,644.117,0.1,1,0,15,25,15.03,0,13.8,0,15.03,15.03,0,1,1,1,1
pro_20220528, 2022-06-06T16:09:06,644.217,0.1,1,0,15,25,15.03,-25.132,13.8,-0.08,15.11,15.03,0.076243,1,1,1,1
pro_20220528, 2022-06-06T16:09:06,644.317,0.1,1,0,15,25,14.95,-50.26,13.8,-0.17,15.13,15.03,0.096812,1,1,1,1
pro_20220528, 2022-06-06T16:09:06,644.417,0.1,1,0,15,25,14.86,-75.38,13.8,-0.28,15.13,15.03,0.106709,1,1,1,1
pro_20220528, 2022-06-06T16:09:06,644.517,0.1,1,0,15,25,14.75,-100.489,13.8,-0.39,15.14,15.03,0.110953,1,1,1,1
pro_20220528, 2022-06-06T16:09:06,644.617,0.1,1,0,15,25,14.64,-125.581,13.8,-0.5,15.14,15.03,0.112066,1,1,1,1
pro_20220528, 2022-06-06T16:09:06,644.717,0.1,1,0,15,25,14.52,-150.654,13.8,-0.62,15.14,15.02,0.111304,1,1,1,1
pro_20220528, 2022-06-06T16:09:07,644.817,0.1,1,0,15,25,14.4,-175.702,13.8,-0.73,15.13,15.02,0.10929,1,1,1,1
pro_20220528, 2022-06-06T16:09:07,644.917,0.1,1,0,15,25,14.28,-200.723,13.8,-0.85,15.13,15.02,0.106341,1,1,1,1
pro_20220528, 2022-06-06T16:09:07,645.017,0.1,1,0,15,25,14.16,-225.713,13.8,-0.97,15.13,15.02,0.102611,1,1,1,1
pro_20220528, 2022-06-06T16:09:07,645.117,0.1,1,0,15,25,14.04,-250.666,13.8,-1.08,15.12,15.02,0.098191,1,1,1,1
pro_20220528, 2022-06-06T16:09:07,645.262,0.145,1,0,15,25,13.91,-275.581,13.8,-1.2,15.11,15.02,0.097267,1,1,1,1
pro_20220528, 2022-06-06T16:09:07,645.362,0.1,1,0,15,25,13.77,-311.628,13.8,-1.37,15.14,15.02,0.118383,0.999,1,0.999,1
pro_20220528, 2022-06-06T16:09:07,645.462,0.1,1,0,15,25,13.62,-336.428,13.8,-1.49,15.11,15.02,0.087219,0.999,1,0.999,1
pro_20220528, 2022-06-06T16:09:07,645.562,0.1,1,0,15,25,13.49,-361.176,13.8,-1.6,15.09,15.02,0.075488,0.999,1,0.999,1
pro_20220528, 2022-06-06T16:09:08,645.662,0.1,1,0,15,25,13.36,-385.866,13.8,-1.72,15.08,15.02,0.06538,0.999,1,0.999,1
pro_20220528, 2022-06-06T16:09:08,645.762,0.1,1,0,15,25,13.23,-410.495,13.8,-1.84,15.07,15.02,0.055766,0.999,1,0.999,1
pro_20220528, 2022-06-06T16:09:08,645.862,0.1,1,0,15,25,13.11,-435.06,13.8,-1.96,15.06,15.02,0.046112,0.999,1,0.999,0.999
pro_20220528, 2022-06-06T16:09:08,645.962,0.1,1,0,15,25,12.98,-459.556,13.8,-2.07,15.05,15.01,0.03612,0.999,1,0.999,0.999
pro_20220528, 2022-06-06T16:09:08,646.062,0.1,1,0,15,25,12.85,-483.979,13.8,-2.19,15.04,15.01,0.025663,0.999,1,0.999,0.999
pro_20220528, 2022-06-06T16:09:08,646.162,0.1,1,0,15,25,12.72,-508.326,13.8,-2.31,15.03,15.01,0.016366,0.998,1,0.998,0.999
pro_20220528, 2022-06-06T16:09:08,646.262,0.1,1,0,15,25,12.59,-532.593,13.8,-2.42,15.02,15,0.012595,0.998,1,0.998,0.999
pro_20220528, 2022-06-06T16:09:08,646.362,0.1,1,0,15,25,12.46,-556.775,13.8,-2.54,15,14.99,0.011196,0.998,1,0.998,0.999
pro_20220528, 2022-06-06T16:09:08,646.462,0.1,1,0,15,25,12.33,-580.87,13.8,-2.65,14.99,14.98,0.010811,0.998,0.999,0.998,0.999
pro_20220528, 2022-06-06T16:09:08,646.562,0.1,1,0,15,25,12.2,-604.873,13.8,-2.77,14.97,14.96,0.010862,0.998,0.999,0.998,0.999
pro_20220528, 2022-06-06T16:09:08,646.662,0.1,1,0,15,25,12.07,-628.78,13.8,-2.89,14.96,14.95,0.011092,0.998,0.999,0.998,0.998
pro_20220528, 2022-06-06T16:09:08,646.762,0.1,1,0,15,25,11.94,-652.588,13.8,-3,14.94,14.93,0.011402,0.997,0.999,0.997,0.998
pro_20220528, 2022-06-06T16:09:09,646.862,0.1,1,0,15,25,11.81,-676.293,13.8,-3.12,14.93,14.92,0.011744,0.997,0.999,0.997,0.998
pro_20220528, 2022-06-06T16:09:09,646.962,0.1,1,0,15,25,11.68,-699.892,13.8,-3.23,14.91,14.9,0.012099,0.997,0.999,0.997,0.998
pro_20220528, 2022-06-06T16:09:09,647.062,0.1,1,0,15,25,11.55,-723.379,13.8,-3.35,14.89,14.88,0.012452,0.997,0.998,0.997,0.998
pro_20220528, 2022-06-06T16:09:09,647.162,0.1,1,0,15,25,11.41,-746.753,13.8,-3.46,14.88,14.86,0.012809,0.997,0.998,0.997,0.997
