unit,               hm,                  cTime,       dt,       chm,qcrs,sat,sel,mod,bmso, Tb,  vb,  ib,   ib_charge, ioc, voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,,,,,,,,,,,,,,,,
unit_m,  c_time,       chm_s, qcrs_s, bmso_s, Tb_s,Tbl_s,  vsat_s, voc_stat_s, dv_dyn_s, vb_s, ib_s, ib_in_s, ib_charge_s, ioc_s, sat_s, dq_s, soc_s, reset_s,,,,,,,,,,,,,,,,,,,,,
unit_s,c_time,res,user_sel,   cc_dif,  ibmh,ibnh,ibmm,ibnm,ibm,   ib_diff, ib_diff_f,    voc_soc,e_w,e_w_f,  ib_sel_stat,ib_h,ib_s,mib,ib, vb_sel,vb_h,vb_s,mvb,vb,  Tb_h,Tb_s,mtb,Tb_f,   fltw, falw, ib_rate, ib_quiet, tb_sel, ccd_thr, ewh_thr, ewl_thr, ibd_thr, ibq_thr, preserving
unit_e,c_time,dt,Fx_, Bu_, Q_, R_, P_, S_, K_, u_, x_, y_, z_, x_prior_, P_prior_, x_post_, P_post_, hx_, H_,,,,,,,,,,,,,,,,,,,,
unit_sel,74770431.304,0,1,0.2692495,0.01673,-0.24476,0.01673,0.01673,0.01673,0.26149,0.06779,13.1104,-0.15248,-0.13741,1,0.01673,0.01673,0,0.01673,1,13.23809,13.11119,0,13.23809,11.43,11.43,0,11.43,1024,16,-0.607,-0.005,1,0.2,0.394,-0.492,10,0.005,0
unit_sim,74770431.304,0,390240,0,11.4325,11.4325,13.74573,13.11026,0.00015,13.11119,-0.13,0.017,0.017,0.114,0,-101767.8,0.69828,0, ,,,,,,,,,,,,,,,,,,,,
unit_ekf,74770431.304,2,0.9999999,0.0000056,0.00000225,0.25,0.002272657,0.2502465,0.00299271,0.3097358,0.9678091,0.01096821,13.23515,0.9677763,0.002274898,0.9678091,0.002272657,13.22418,0.3292084,,,,,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:35:41,74770431.304,0.1,0,390240,0,1,0,0,11.4,13.238,0.017,0.017,0.115,13.1104,13.74573,0.00083,13.23649,13.22418,0.010968,0.69828,0.96781,0.69856,,,,,,,,,,,,,,,,
unit_sel,74770431.504,0,1,0.2692494,-0.08109,0.24435,-0.08109,-0.08109,-0.08109,-0.32545,0.06566,13.1104,-0.13398,-0.13706,1,-0.08109,-0.08109,0,-0.08109,1,13.25953,13.11253,0,13.25953,11.43,11.43,0,11.43,0,16,-0.007,-0.028,1,0.2,0.394,-0.492,10,0.005,0
unit_sim,74770431.504,0,390240,0,11.4325,11.4325,13.74573,13.11026,0.0015,13.11253,0.163,-0.081,-0.081,0.114,0,-101767.8,0.69828,0, ,,,,,,,,,,,,,,,,,,,,
unit_ekf,74770431.504,2,0.9999999,0.0000056,0.00000225,0.25,0.002272657,0.2502465,0.00299271,0.3097358,0.9678091,0.01096821,13.23515,0.9677763,0.002274898,0.9678091,0.002272657,13.22418,0.3292084,,,,,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:35:42,74770431.504,0.1,0,390240,0,1,0,0,11.4,13.26,-0.081,-0.081,0.115,13.1104,13.74573,0.00038,13.25837,13.22418,0.010968,0.69828,0.96781,0.69856,,,,,,,,,,,,,,,,
unit_sel,74770431.704,0,1,0.2692494,0.06565,0.04871,0.06565,0.06565,0.06565,0.01693,0.06849,13.1104,-0.18137,-0.13841,1,0.06565,0.06565,0,0.06565,1,13.23809,13.11231,0,13.23809,11.43,11.43,0,11.43,0,16,-0.049,-0.043,1,0.2,0.394,-0.492,10,0.005,0
unit_sim,74770431.704,0,390240,0,11.4325,11.4325,13.74573,13.11026,0.00128,13.11231,0.115,0.066,0.066,0.113,0,-101767.8,0.69828,0, ,,,,,,,,,,,,,,,,,,,,
unit_ekf,74770431.704,2,0.9999999,0.0000056,0.00000225,0.25,0.002272657,0.2502465,0.00299271,0.3097358,0.9678091,0.01096821,13.23515,0.9677763,0.002274898,0.9678091,0.002272657,13.22418,0.3292084,,,,,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:35:42,74770431.704,0.1,0,390240,0,1,0,0,11.4,13.238,0.066,0.066,0.114,13.1104,13.74573,0.00105,13.23627,13.22418,0.010968,0.69828,0.96781,0.69856,,,,,,,,,,,,,,,,
unit_sel,74770431.904,0,1,0.2692358,0.35911,0.04871,0.35911,0.35911,0.35911,0.3104,0.06754,13.1104,-0.1094,-0.13739,1,0.35911,0.35911,0,0.35911,1,13.24238,13.11141,0,13.24238,11.43,11.43,0,11.43,0,16,0.313,-0.049,1,0.2,0.394,-0.492,10,0.005,0
unit_sim,74770431.904,0,390240,0,11.4325,11.4325,13.74573,13.11026,0.00037,13.11141,-0.081,0.359,0.359,0.112,0,-101767.7,0.69828,0, ,,,,,,,,,,,,,,,,,,,,
unit_ekf,74770431.904,2,0.9999999,0.0000056,0.00000225,0.25,0.002272664,0.2502467,0.002993586,-0.08108474,0.9677955,-0.004388809,13.2198,0.9678086,0.002274906,0.9677955,0.002272664,13.22419,0.3293037,,,,,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:35:42,74770431.904,0.1,0,390240,0,1,0,0,11.4,13.242,0.359,0.359,0.113,13.1104,13.74573,0.0024,13.2392,13.22419,-0.004389,0.69828,0.9678,0.69856,,,,,,,,,,,,,,,,
unit_sel,74770432.104,0,1,0.2692356,0.16347,0.39109,0.16347,0.16347,0.16347,-0.22762,0.06451,13.1104,-0.1764,-0.13815,1,0.16347,0.16347,0,0.16347,1,13.20809,13.11299,0,13.20809,11.43,11.43,0,11.43,0,16,0.524,-0.036,1,0.2,0.394,-0.492,10,0.005,0
unit_sim,74770432.104,0,390240,0,11.4325,11.4325,13.74573,13.11026,0.00195,13.11299,0.261,0.163,0.163,0.113,0,-101767.7,0.69828,0, ,,,,,,,,,,,,,,,,,,,,
unit_ekf,74770432.104,2,0.9999999,0.0000056,0.00000225,0.25,0.002272664,0.2502467,0.002993586,-0.08108474,0.9677955,-0.004388809,13.2198,0.9678086,0.002274906,0.9677955,0.002272664,13.22419,0.3293037,,,,,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:35:42,74770432.104,0.1,0,390240,0,1,0,0,11.4,13.208,0.163,0.163,0.115,13.1104,13.74573,0.0015,13.2058,13.22419,-0.004389,0.69828,0.9678,0.69856,,,,,,,,,,,,,,,,
unit_sel,74770432.304,0,1,0.2692356,0.3102,-0.04911,0.3102,0.3102,0.3102,0.35931,0.07417,13.1104,-0.15541,-0.13755,1,0.3102,0.3102,0,0.3102,1,13.23381,13.11255,0,13.23381,11.43,11.43,0,11.43,0,16,-0.094,-0.018,1,0.2,0.394,-0.492,10,0.005,0
unit_sim,74770432.304,0,390240,0,11.4325,11.4325,13.74573,13.11026,0.0015,13.11255,0.163,0.31,0.31,0.114,0,-101767.6,0.69828,0, ,,,,,,,,,,,,,,,,,,,,
unit_ekf,74770432.304,2,0.9999999,0.0000056,0.00000225,0.25,0.002272664,0.2502467,0.002993586,-0.08108474,0.9677955,-0.004388809,13.2198,0.9678086,0.002274906,0.9677955,0.002272664,13.22419,0.3293037,,,,,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:35:42,74770432.304,0.1,0,390240,0,1,0,0,11.4,13.234,0.31,0.31,0.115,13.1104,13.74573,0.00218,13.23084,13.22419,-0.004389,0.69828,0.9678,0.69856,,,,,,,,,,,,,,,,
unit_sel,74770432.504,0,1,0.2692354,-0.08108,-0.14693,-0.08108,-0.08108,-0.08108,0.06585,0.07289,13.1104,-0.12968,-0.13694,1,-0.08108,-0.08108,0,-0.08108,1,13.19951,13.11255,0,13.19951,11.43,11.43,0,11.43,0,16,-0.346,-0.008,1,0.2,0.394,-0.492,10,0.005,0
unit_sim,74770432.504,0,390240,0,11.4325,11.4325,13.74573,13.11026,0.00151,13.11255,0.163,-0.081,-0.081,0.115,0,-101767.6,0.69828,0, ,,,,,,,,,,,,,,,,,,,,
unit_ekf,74770432.504,2,0.9999999,0.0000056,0.00000225,0.25,0.002272664,0.2502467,0.002993586,-0.08108474,0.9677955,-0.004388809,13.2198,0.9678086,0.002274906,0.9677955,0.002272664,13.22419,0.3293037,,,,,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:35:43,74770432.504,0.1,0,390240,0,1,0,0,11.4,13.2,-0.081,-0.081,0.116,13.1104,13.74573,0.00038,13.19834,13.22419,-0.004389,0.69828,0.9678,0.69856,,,,,,,,,,,,,,,,
unit_sel,74770432.704,0,1,0.2692354,-0.08109,0.39109,-0.08109,-0.08109,-0.08109,-0.47218,0.05247,13.1104,-0.1051,-0.13498,1,-0.08109,-0.08109,0,-0.08109,1,13.23381,13.11141,0,13.23381,11.43,11.43,0,11.43,0,16,0.231,-0.008,1,0.2,0.394,-0.492,10,0.005,0
unit_sim,74770432.704,0,390240,0,11.4325,11.4325,13.74573,13.11026,0.00038,13.11141,-0.081,-0.081,-0.081,0.113,0,-101767.6,0.69828,0, ,,,,,,,,,,,,,,,,,,,,
unit_ekf,74770432.704,2,0.9999999,0.0000056,0.00000225,0.25,0.002272664,0.2502467,0.002993586,-0.08108474,0.9677955,-0.004388809,13.2198,0.9678086,0.002274906,0.9677955,0.002272664,13.22419,0.3293037,,,,,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:35:43,74770432.704,0.1,0,390240,0,1,0,0,11.4,13.234,-0.081,-0.081,0.114,13.1104,13.74573,0.00038,13.23265,13.22419,-0.004389,0.69828,0.9678,0.69856,,,,,,,,,,,,,,,,
unit_sel,74770432.904,0,1,0.2692354,-0.08109,0.39109,-0.08109,-0.08109,-0.08109,-0.47218,0.04708,13.1104,-0.14662,-0.13496,1,-0.08109,-0.08109,0,-0.08109,1,13.24667,13.11275,0,13.24667,11.43,11.43,0,11.43,1024,16,0.052,-0.002,1,0.2,0.394,-0.492,10,0.005,0
unit_sim,74770432.904,0,390240,0,11.4325,11.4325,13.74573,13.11026,0.00173,13.11275,0.212,-0.081,-0.081,0.113,0,-101767.6,0.69828,0, ,,,,,,,,,,,,,,,,,,,,
unit_ekf,74770432.904,2,0.9999999,0.0000056,0.00000225,0.25,0.002272664,0.2502467,0.002993586,-0.08108474,0.9677955,-0.004388809,13.2198,0.9678086,0.002274906,0.9677955,0.002272664,13.22419,0.3293037,,,,,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:35:43,74770432.904,0.1,0,390240,0,1,0,0,11.4,13.247,-0.081,-0.081,0.114,13.1104,13.74573,0.00038,13.24552,13.22419,-0.004389,0.69828,0.9678,0.69856,,,,,,,,,,,,,,,,
unit_sel,74770433.104,0,1,0.2692354,-0.08109,-0.24476,-0.08109,-0.08109,-0.08109,0.16366,0.05166,13.1104,-0.15656,-0.13549,1,-0.08109,-0.08109,0,-0.08109,1,13.21666,13.11139,0,13.21666,11.43,11.43,0,11.43,0,16,-0.869,-0.012,1,0.2,0.394,-0.492,10,0.005,0
unit_sim,74770433.104,0,390240,0,11.4325,11.4325,13.74573,13.11026,0.00038,13.11139,-0.081,-0.081,-0.081,0.111,0,-101767.6,0.69828,0, ,,,,,,,,,,,,,,,,,,,,
unit_ekf,74770433.104,2,0.9999999,0.0000056,0.00000225,0.25,0.002272664,0.2502467,0.002993586,-0.08108474,0.9677955,-0.004388809,13.2198,0.9678086,0.002274906,0.9677955,0.002272664,13.22419,0.3293037,,,,,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:35:43,74770433.104,0.1,0,390240,0,1,0,0,11.4,13.217,-0.081,-0.081,0.112,13.1104,13.74573,0.00037,13.21552,13.22419,-0.004389,0.69828,0.9678,0.69856,,,,,,,,,,,,,,,,
unit_sel,74770433.304,0,1,0.2692354,0.16347,-0.29366,0.16347,0.16347,0.16347,0.45713,0.05901,13.1104,-0.10828,-0.13409,1,0.16347,0.16347,0,0.16347,1,13.23809,13.11252,0,13.23809,11.43,11.43,0,11.43,0,16,0.05,-0.029,1,0.2,0.394,-0.492,10,0.005,0
unit_sim,74770433.304,0,390240,0,11.4325,11.4325,13.74573,13.11026,0.0015,13.11252,0.163,0.163,0.163,0.111,0,-101767.6,0.69828,0, ,,,,,,,,,,,,,,,,,,,,
unit_ekf,74770433.304,2,0.9999999,0.0000056,0.00000225,0.25,0.002272664,0.2502467,0.002993586,-0.08108474,0.9677955,-0.004388809,13.2198,0.9678086,0.002274906,0.9677955,0.002272664,13.22419,0.3293037,,,,,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:35:43,74770433.304,0.1,0,390240,0,1,0,0,11.4,13.238,0.163,0.163,0.112,13.1104,13.74573,0.0015,13.23583,13.22419,-0.004389,0.69828,0.9678,0.69856,,,,,,,,,,,,,,,,
unit_sel,74770433.504,0,1,0.2692354,0.3102,0.09762,0.3102,0.3102,0.3102,0.21258,0.05649,13.1104,-0.15251,-0.13434,1,0.3102,0.3102,0,0.3102,1,13.25095,13.11117,0,13.25095,11.43,11.43,0,11.43,0,16,0.29,-0.04,1,0.2,0.394,-0.492,10,0.005,0
unit_sim,74770433.504,0,390240,0,11.4325,11.4325,13.74573,13.11026,0.00015,13.11117,-0.13,0.31,0.31,0.11,0,-101767.6,0.69828,0, ,,,,,,,,,,,,,,,,,,,,
unit_ekf,74770433.504,2,0.9999999,0.0000056,0.00000225,0.25,0.002272664,0.2502467,0.002993586,-0.08108474,0.9677955,-0.004388809,13.2198,0.9678086,0.002274906,0.9677955,0.002272664,13.22419,0.3293037,,,,,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:35:44,74770433.504,0.1,0,390240,0,1,0,0,11.4,13.251,0.31,0.31,0.111,13.1104,13.74573,0.00217,13.24802,13.22419,-0.004389,0.69828,0.9678,0.69856,,,,,,,,,,,,,,,,
unit_sel,74770433.704,0,1,0.2692354,-0.08108,-0.0002,-0.08108,-0.08108,-0.08108,-0.08088,0.05775,13.1104,-0.1137,-0.13391,1,-0.08108,-0.08108,0,-0.08108,1,13.23809,13.11138,0,13.23809,11.43,11.43,0,11.43,0,16,-0.535,-0.05,1,0.2,0.394,-0.492,10,0.005,0
unit_sim,74770433.704,0,390240,0,11.4325,11.4325,13.74573,13.11026,0.00037,13.11138,-0.081,-0.081,-0.081,0.11,0,-101767.6,0.69828,0, ,,,,,,,,,,,,,,,,,,,,
unit_ekf,74770433.704,2,0.9999999,0.0000056,0.00000225,0.25,0.002272664,0.2502467,0.002993586,-0.08108474,0.9677955,-0.004388809,13.2198,0.9678086,0.002274906,0.9677955,0.002272664,13.22419,0.3293037,,,,,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:35:44,74770433.704,0.1,0,390240,0,1,0,0,11.4,13.238,-0.081,-0.081,0.111,13.1104,13.74573,0.00037,13.23697,13.22419,-0.004389,0.69828,0.9678,0.69856,,,,,,,,,,,,,,,,
unit_sel,74770433.904,0,1,0.2693468,-0.13,-0.0002,-0.13,-0.13,-0.13,-0.1298,0.05799,13.1104,-0.15049,-0.13414,1,-0.13,-0.13,0,-0.13,1,13.23381,13.11318,0,13.23381,11.43,11.43,0,11.43,0,16,0.152,-0.055,1,0.2,0.394,-0.492,10,0.005,0
unit_sim,74770433.904,0,390240,0,11.4325,11.4325,13.74573,13.11026,0.00217,13.11318,0.31,-0.13,-0.13,0.11,0,-101767.6,0.69828,0, ,,,,,,,,,,,,,,,,,,,,
unit_ekf,74770433.904,2,0.9999999,0.0000056,0.00000225,0.25,0.002272671,0.2502467,0.002993596,0.3097358,0.967907,0.03670025,13.26089,0.9677971,0.002274913,0.967907,0.002272671,13.22419,0.3293037,,,,,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:35:44,74770433.904,0.1,0,390240,0,1,0,0,11.4,13.234,-0.13,-0.13,0.111,13.1104,13.74573,0.00015,13.23291,13.22419,0.0367,0.69828,0.96791,0.69856,,,,,,,,,,,,,,,,
unit_sel,74770434.104,0,1,0.2693468,-0.08108,0.09762,-0.08108,-0.08108,-0.08108,-0.17871,0.04966,13.1104,-0.11755,-0.13345,1,-0.08108,-0.08108,0,-0.08108,1,13.25524,13.11182,0,13.25524,11.43,11.43,0,11.43,0,16,0.096,-0.055,1,0.2,0.394,-0.492,10,0.005,0
unit_sim,74770434.104,0,390240,0,11.4325,11.4325,13.74573,13.11026,0.00082,13.11182,0.017,-0.081,-0.081,0.109,0,-101767.6,0.69828,0, ,,,,,,,,,,,,,,,,,,,,
unit_ekf,74770434.104,2,0.9999999,0.0000056,0.00000225,0.25,0.002272671,0.2502467,0.002993596,0.3097358,0.967907,0.03670025,13.26089,0.9677971,0.002274913,0.967907,0.002272671,13.22419,0.3293037,,,,,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:35:44,74770434.104,0.1,0,390240,0,1,0,0,11.4,13.255,-0.081,-0.081,0.11,13.1104,13.74573,0.00037,13.25413,13.22419,0.0367,0.69828,0.96791,0.69856,,,,,,,,,,,,,,,,
unit_sel,74770434.304,0,1,0.2693469,0.01673,0.09763,0.01673,0.01673,0.01673,-0.0809,0.03979,13.1104,-0.14848,-0.13407,1,0.01673,0.01673,0,0.01673,1,13.22952,13.1109,0,13.22952,11.43,11.43,0,11.43,0,16,0.016,-0.053,1,0.2,0.394,-0.492,10,0.005,0
unit_sim,74770434.304,0,390240,0,11.4325,11.4325,13.74573,13.11026,-0.00008,13.1109,-0.179,0.017,0.017,0.107,0,-101767.6,0.69828,0, ,,,,,,,,,,,,,,,,,,,,
unit_ekf,74770434.304,2,0.9999999,0.0000056,0.00000225,0.25,0.002272671,0.2502467,0.002993596,0.3097358,0.967907,0.03670025,13.26089,0.9677971,0.002274913,0.967907,0.002272671,13.22419,0.3293037,,,,,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:35:44,74770434.304,0.1,0,390240,0,1,0,0,11.4,13.23,0.017,0.017,0.108,13.1104,13.74573,0.00082,13.22797,13.22419,0.0367,0.69828,0.96791,0.69856,,,,,,,,,,,,,,,,
unit_sel,74770434.504,0,1,0.2693469,0.35911,0.09763,0.35911,0.35911,0.35911,0.26148,0.04564,13.1104,-0.1733,-0.13464,1,0.35911,0.35911,0,0.35911,1,13.25953,13.11181,0,13.25953,11.43,11.43,0,11.43,0,16,0.298,-0.049,1,0.2,0.394,-0.492,10,0.005,0
unit_sim,74770434.504,0,390240,0,11.4325,11.4325,13.74573,13.11026,0.00081,13.11181,0.017,0.359,0.359,0.106,0,-101767.6,0.69828,0, ,,,,,,,,,,,,,,,,,,,,
unit_ekf,74770434.504,2,0.9999999,0.0000056,0.00000225,0.25,0.002272671,0.2502467,0.002993596,0.3097358,0.967907,0.03670025,13.26089,0.9677971,0.002274913,0.967907,0.002272671,13.22419,0.3293037,,,,,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:35:44,74770434.504,0.1,0,390240,0,1,0,0,11.4,13.26,0.359,0.359,0.107,13.1104,13.74573,0.00239,13.2564,13.22419,0.0367,0.69828,0.96791,0.69856,,,,,,,,,,,,,,,,
unit_sel,74770434.704,0,1,0.2693468,0.06565,0.34218,0.06565,0.06565,0.06565,-0.27653,0.03205,13.1104,-0.16856,-0.13575,1,0.06565,0.06565,0,0.06565,1,13.23809,13.11226,0,13.23809,11.43,11.43,0,11.43,0,16,0.609,-0.022,1,0.2,0.394,-0.492,10,0.005,0
unit_sim,74770434.704,0,390240,0,11.4325,11.4325,13.74573,13.11026,0.00127,13.11226,0.115,0.066,0.066,0.107,0,-101767.6,0.69828,0, ,,,,,,,,,,,,,,,,,,,,
unit_ekf,74770434.704,2,0.9999999,0.0000056,0.00000225,0.25,0.002272671,0.2502467,0.002993596,0.3097358,0.967907,0.03670025,13.26089,0.9677971,0.002274913,0.967907,0.002272671,13.22419,0.3293037,,,,,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:35:44,74770434.704,0.1,0,390240,0,1,0,0,11.4,13.238,0.066,0.066,0.108,13.1104,13.74573,0.00104,13.23632,13.22419,0.0367,0.69828,0.96791,0.69856,,,,,,,,,,,,,,,,
unit_sel,74770434.904,0,1,0.2693469,0.11455,0.09762,0.11455,0.11455,0.11455,0.01693,0.02671,13.1104,-0.1239,-0.13522,1,0.11455,0.11455,0,0.11455,1,13.22952,13.10977,0,13.22952,11.43,11.43,0,11.43,0,16,-0.606,-0.012,1,0.2,0.394,-0.492,10,0.005,0
unit_sim,74770434.904,0,390240,0,11.4325,11.4325,13.74573,13.11026,-0.00121,13.10977,-0.423,0.115,0.115,0.105,0,-101767.6,0.69828,0, ,,,,,,,,,,,,,,,,,,,,
unit_ekf,74770434.904,2,0.9999999,0.0000056,0.00000225,0.25,0.002272671,0.2502467,0.002993596,0.3097358,0.967907,0.03670025,13.26089,0.9677971,0.002274913,0.967907,0.002272671,13.22419,0.3293037,,,,,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:35:44,74770434.904,0.1,0,390240,0,1,0,0,11.4,13.23,0.115,0.115,0.106,13.1104,13.74573,0.00126,13.22754,13.22419,0.0367,0.69828,0.96791,0.69856,,,,,,,,,,,,,,,,
unit_sel,74770435.104,0,1,0.2693468,0.16347,0.09762,0.16347,0.16347,0.16347,0.06585,0.02825,13.1104,-0.13474,-0.13477,1,0.16347,0.16347,0,0.16347,1,13.24238,13.11179,0,13.24238,11.43,11.43,0,11.43,0,16,0.064,-0.012,1,0.2,0.394,-0.492,10,0.005,0
unit_sim,74770435.104,0,390240,0,11.4325,11.4325,13.74573,13.11026,0.00081,13.11179,0.017,0.163,0.163,0.104,0,-101767.6,0.69828,0, ,,,,,,,,,,,,,,,,,,,,
unit_ekf,74770435.104,2,0.9999999,0.0000056,0.00000225,0.25,0.002272671,0.2502467,0.002993596,0.3097358,0.967907,0.03670025,13.26089,0.9677971,0.002274913,0.967907,0.002272671,13.22419,0.3293037,,,,,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:35:45,74770435.104,0.1,0,390240,0,1,0,0,11.4,13.242,0.163,0.163,0.105,13.1104,13.74573,0.00149,13.24017,13.22419,0.0367,0.69828,0.96791,0.69856,,,,,,,,,,,,,,,,
unit_sel,74770435.304,0,1,0.2693468,-0.17891,-0.39149,-0.17891,-0.17891,-0.17891,0.21258,0.03642,13.1104,-0.16023,-0.13528,1,-0.17891,-0.17891,0,-0.17891,1,13.22952,13.112,0,13.22952,11.43,11.43,0,11.43,0,16,-0.802,-0.016,1,0.2,0.394,-0.492,10,0.005,0
unit_sim,74770435.304,0,390240,0,11.4325,11.4325,13.74573,13.11026,0.00104,13.112,0.066,-0.179,-0.179,0.105,0,-101767.6,0.69828,0, ,,,,,,,,,,,,,,,,,,,,
unit_ekf,74770435.304,2,0.9999999,0.0000056,0.00000225,0.25,0.002272671,0.2502467,0.002993596,0.3097358,0.967907,0.03670025,13.26089,0.9677971,0.002274913,0.967907,0.002272671,13.22419,0.3293037,,,,,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:35:45,74770435.304,0.1,0,390240,0,1,0,0,11.4,13.23,-0.179,-0.179,0.105,13.1104,13.74573,-0.00009,13.2289,13.22419,0.0367,0.69828,0.96791,0.69856,,,,,,,,,,,,,,,,
unit_sel,74770435.504,0,1,0.2693468,0.01673,0.04871,0.01673,0.01673,0.01673,-0.03198,0.03659,13.1104,-0.12212,-0.13455,1,0.01673,0.01673,0,0.01673,1,13.24667,13.11154,0,13.24667,11.43,11.43,0,11.43,0,16,0.019,-0.039,1,0.2,0.394,-0.492,10,0.005,0
unit_sim,74770435.504,0,390240,0,11.4325,11.4325,13.74573,13.11026,0.00058,13.11154,-0.032,0.017,0.017,0.103,0,-101767.6,0.69828,0, ,,,,,,,,,,,,,,,,,,,,
unit_ekf,74770435.504,2,0.9999999,0.0000056,0.00000225,0.25,0.002272671,0.2502467,0.002993596,0.3097358,0.967907,0.03670025,13.26089,0.9677971,0.002274913,0.967907,0.002272671,13.22419,0.3293037,,,,,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:35:45,74770435.504,0.1,0,390240,0,1,0,0,11.4,13.247,0.017,0.017,0.104,13.1104,13.74573,0.00081,13.24515,13.22419,0.0367,0.69828,0.96791,0.69856,,,,,,,,,,,,,,,,
unit_sel,74770435.704,0,1,0.2693467,-0.03218,-0.24476,-0.03218,-0.03218,-0.03218,0.21258,0.03874,13.1104,-0.13385,-0.13454,1,-0.03218,-0.03218,0,-0.03218,1,13.24238,13.11267,0,13.24238,11.43,11.43,0,11.43,0,16,0.144,-0.04,1,0.2,0.394,-0.492,10,0.005,0
unit_sim,74770435.704,0,390240,0,11.4325,11.4325,13.74573,13.11026,0.00171,13.11267,0.212,-0.032,-0.032,0.103,0,-101767.6,0.69828,0, ,,,,,,,,,,,,,,,,,,,,
unit_ekf,74770435.704,2,0.9999999,0.0000056,0.00000225,0.25,0.002272671,0.2502467,0.002993596,0.3097358,0.967907,0.03670025,13.26089,0.9677971,0.002274913,0.967907,0.002272671,13.22419,0.3293037,,,,,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:35:45,74770435.704,0.1,0,390240,0,1,0,0,11.4,13.242,-0.032,-0.032,0.104,13.1104,13.74573,0.00058,13.24109,13.22419,0.0367,0.69828,0.96791,0.69856,,,,,,,,,,,,,,,,
unit_sel,74770435.904,0,1,0.2693949,0.16346,-0.14693,0.16346,0.16346,0.16346,0.3104,0.04275,13.1104,-0.12957,-0.13432,1,0.16346,0.16346,0,0.16346,1,13.23381,13.11267,0,13.23381,11.43,11.43,0,11.43,0,16,0.363,-0.033,1,0.2,0.394,-0.492,10,0.005,0
unit_sim,74770435.904,0,390240,0,11.4325,11.4325,13.74573,13.11026,0.00171,13.11267,0.212,0.163,0.163,0.103,0,-101767.5,0.69828,0, ,,,,,,,,,,,,,,,,,,,,
unit_ekf,74770435.904,2,0.9999999,0.0000056,0.00000225,0.25,0.00227268,0.2502464,0.002991874,0.2120593,0.9679552,0.01574421,13.23997,0.9679081,0.00227492,0.9679552,0.00227268,13.22422,0.329113,,,,,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:35:45,74770435.904,0.1,0,390240,0,1,0,0,11.4,13.234,0.163,0.163,0.104,13.1104,13.74573,0.00148,13.23161,13.22422,0.015744,0.69828,0.96796,0.69856,,,,,,,,,,,,,,,,
unit_sel,74770436.104,0,1,0.2693948,0.35911,-0.00019,0.35911,0.35911,0.35911,0.3593,0.05516,13.1104,-0.13385,-0.134,1,0.35911,0.35911,0,0.35911,1,13.22523,13.11268,0,13.22523,11.43,11.43,0,11.43,0,16,0.283,-0.022,1,0.2,0.394,-0.492,10,0.005,0
unit_sim,74770436.104,0,390240,0,11.4325,11.4325,13.74573,13.11026,0.00171,13.11268,0.212,0.359,0.359,0.104,0,-101767.5,0.69828,0, ,,,,,,,,,,,,,,,,,,,,
unit_ekf,74770436.104,2,0.9999999,0.0000056,0.00000225,0.25,0.00227268,0.2502464,0.002991874,0.2120593,0.9679552,0.01574421,13.23997,0.9679081,0.00227492,0.9679552,0.00227268,13.22422,0.329113,,,,,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:35:46,74770436.104,0.1,0,390240,0,1,0,0,11.4,13.225,0.359,0.359,0.104,13.1104,13.74573,0.00239,13.22213,13.22422,0.015744,0.69828,0.96796,0.69856,,,,,,,,,,,,,,,,
