unit_m,  c_time,       chm_s,  Tb_s,Tbl_s,  vsat_s, voc_stat_s, dv_dyn_s, vb_s, ib_s, ib_in_s, ioc_s, sat_s, dq_s, soc_s, reset_s,
unit_sim,  58171196.337, 0, 24.98248,24.98248, 13.80000,11.00115,0.00000,11.00115,   0.000,  0.000,  0.000,  0,  -342000.0,   0.04983, 1, 
unit_sim,  58171196.438, 0, 24.98996,24.98996, 13.80000,10.97670,0.00000,10.97670,   0.000,  0.000,  0.000,  0,  -342000.0,   0.04990, 1, 
unit_sim,  58171196.537, 0, 25.00532,25.00532, 13.80000,10.98664,0.00000,10.98664,   0.000,  0.000,  0.000,  0,  -342000.0,   0.05005, 1, 
unit_sim,  58171196.638, 0, 24.98563,24.98563, 13.80000,11.00164,0.00000,11.00164,   0.000,  0.000,  0.000,  0,  -342000.0,   0.04986, 1, 
unit_sim,  58171196.738, 0, 24.99626,24.99626, 13.80000,10.98088,0.00000,10.98088,   0.000,  0.000,  0.000,  0,  -342000.0,   0.04996, 1, 
unit_sim,  58171196.837, 0, 25.01791,25.01791, 13.80000,10.99502,0.00000,10.99502,   0.000,  0.000,  0.000,  0,  -342000.0,   0.05017, 1, 
unit_sim,  58171196.937, 0, 25.01043,25.01043, 13.80000,11.00553,0.00000,11.00553,   0.000,  0.000,  0.000,  0,  -342000.0,   0.05010, 1, 
unit_sim,  58171197.037, 0, 24.99587,24.99587, 13.80000,11.00322,0.00000,11.00322,   0.000,  0.000,  0.000,  0,  -342000.0,   0.04996, 1, 
unit_sim,  58171197.137, 0, 25.01713,25.01713, 13.80000,10.99450,0.00000,10.99450,   0.000,  0.000,  0.000,  0,  -342000.0,   0.05016, 1, 
unit_sim,  58171197.237, 0, 25.00886,25.00886, 13.80000,11.00529,0.00000,11.00529,   0.000,  0.000,  0.000,  0,  -342000.0,   0.05008, 1, 
unit_sim,  58171197.337, 0, 24.99272,24.99272, 13.80000,11.00274,0.00000,11.00274,   0.000,  0.000,  0.000,  0,  -342000.0,   0.04993, 1, 
unit_sim,  58171197.437, 0, 25.01083,25.01083, 13.80000,10.99031,0.00000,10.99031,   0.000,  0.000,  0.000,  0,  -342000.0,   0.05010, 1, 
unit_sim,  58171197.537, 0, 24.99665,24.99665, 13.80000,11.00334,0.00000,11.00334,   0.000,  0.000,  0.000,  0,  -342000.0,   0.04997, 1, 
unit_sim,  58171197.637, 0, 25.01870,25.01870, 13.80000,10.99555,0.00000,10.99555,   0.000,  0.000,  0.000,  0,  -342000.0,   0.05018, 1, 
unit_sim,  58171197.737, 0, 25.01201,25.01201, 13.80000,11.00577,0.00000,11.00577,   0.000,  0.000,  0.000,  0,  -342000.0,   0.05011, 1, 
unit_sim,  58171197.837, 0, 24.99902,24.99902, 13.80000,11.00371,0.00000,11.00371,   0.000,  0.000,  0.000,  0,  -342000.0,   0.04999, 1, 
unit_sim,  58171197.937, 0, 25.02343,25.02343, 13.80000,10.99869,0.00000,10.99869,   0.000,  0.000,  0.000,  0,  -342000.0,   0.05022, 1, 
unit_sim,  58171198.037, 0, 25.02146,25.02146, 13.80000,11.00723,0.00000,11.00723,   0.000,  0.000,  0.000,  0,  -342000.0,   0.05020, 1, 
