fltb,  date,                time,    Tb_h, vb_h, ibah, ibnh, Tb, vb, ib, soc, soc_ekf, voc, voc_stat, e_w_f, fltw, falw,
unit_f, 2023-02-07T15:43:47, 1675784627,   0.000,  17.309,  24.317,  24.317,  25.000,  17.309,  24.317,  0.9939,  0.9933,  13.790,  13.637,  -0.006, 0, 0,
unit_f, 2023-02-07T15:43:57, 1675784637,   0.000,  12.021,  47.513,  47.513,  25.000,  12.021,  47.513,  0.9969,  0.9966,  13.908,  14.052,   0.083, 0, 0,
unit_f, 2023-02-07T15:44:07, 1675784647,   0.000,   8.047,   7.207,   7.207,  25.000,   8.047,   7.207,  0.9731,  0.9728,  12.953,  13.153,   0.085, 0, 0,
unit_f, 2023-02-07T15:44:17, 1675784657,   0.000,  11.577,  28.012,  28.012,  25.000,  11.577,  28.012,  0.9557,  0.9554,  12.888,  13.088,   0.155, 0, 0,
unit_f, 2023-02-07T15:44:27, 1675784667,   0.000,  17.288,  53.865,  53.865,  25.000,  17.288,  53.865,  0.9693,  0.9688,  13.393,  13.234,   0.082, 0, 0,
unit_f, 2023-02-07T15:44:37, 1675784677,   0.000,  17.307, -23.178, -23.178,  25.000,  17.307, -23.178,  0.9947,  0.9934,  13.870,  13.718,  -0.009, 0, 0,
unit_f, 2023-02-07T15:44:47, 1675784687,   0.000,  14.848,   0.000,   0.000,  25.000,  14.848,   0.000,  0.9998,  0.9982,  14.269,  14.469,   0.198, 0, 0,
