unit,               hm,                  cTime,       dt,       chm,qcrs,sat,sel,mod,bmso, Tb,  vb,  ib,   ib_charge, ioc, voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:34:37,74770362.387,0.932,0,390240,0,1,0,0,11.4,13.26,0.31,0.31,0.07,13.11039,13.74573,0.00205,13.25694,13.22343,0.027488,0.69826,0.9656,0.69854,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:34:37,74770363.419,0.1,0,390240,0,1,0,0,11.4,13.251,0.359,0.359,0.078,13.11039,13.74573,0.00228,13.24814,13.22343,0.027488,0.69826,0.9656,0.69854,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:34:37,74770363.619,0.1,0,390240,0,1,0,0,11.4,13.268,0.115,0.115,0.079,13.11039,13.74573,0.00115,13.26641,13.22343,0.027488,0.69826,0.9656,0.69854,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:34:37,74770363.819,0.1,0,390240,0,1,0,0,11.4,13.268,0.408,0.408,0.078,13.11039,13.74573,0.0025,13.26506,13.22346,0.039569,0.69826,0.96572,0.69854,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:34:38,74770364.019,0.1,0,390240,0,1,0,0,11.4,13.29,0.457,0.457,0.08,13.11039,13.74573,0.00273,13.28625,13.22346,0.039569,0.69826,0.96572,0.69854,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:34:38,74770364.219,0.1,0,390240,0,1,0,0,11.4,13.217,0.163,0.163,0.08,13.11039,13.74573,0.00138,13.21473,13.22346,0.039569,0.69826,0.96572,0.69854,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:34:38,74770364.419,0.1,0,390240,0,1,0,0,11.4,13.255,-0.032,-0.032,0.079,13.11039,13.74573,0.00048,13.25423,13.22346,0.039569,0.69826,0.96572,0.69854,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:34:38,74770364.619,0.1,0,390240,0,1,0,0,11.4,13.272,-0.179,-0.179,0.078,13.11039,13.74573,-0.0002,13.27207,13.22346,0.039569,0.69826,0.96572,0.69854,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:34:38,74770364.819,0.1,0,390240,0,1,0,0,11.4,13.242,0.163,0.163,0.078,13.11039,13.74573,0.00138,13.24047,13.22346,0.039569,0.69826,0.96572,0.69854,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:34:39,74770365.019,0.1,0,390240,0,1,0,0,11.4,13.272,0.212,0.212,0.078,13.11039,13.74573,0.0016,13.27025,13.22346,0.039569,0.69826,0.96572,0.69854,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:34:39,74770365.219,0.1,0,390240,0,1,0,0,11.4,13.238,0.31,0.31,0.079,13.11039,13.74573,0.00205,13.2355,13.22346,0.039569,0.69826,0.96572,0.69854,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:34:39,74770365.419,0.1,0,390240,0,1,0,0,11.4,13.281,0.066,0.066,0.081,13.11039,13.74573,0.00093,13.27948,13.22346,0.039569,0.69826,0.96572,0.69854,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:34:39,74770365.619,0.1,0,390240,0,1,0,0,11.4,13.251,-0.13,-0.13,0.081,13.11039,13.74573,0.00003,13.25037,13.22346,0.039569,0.69826,0.96572,0.69854,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:34:39,74770365.819,0.1,0,390240,0,1,0,0,11.4,13.221,-0.13,-0.13,0.081,13.11039,13.74573,0.00003,13.22037,13.2235,0.046277,0.69826,0.96586,0.69854,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:34:40,74770366.019,0.1,0,390240,0,1,0,0,11.4,13.26,0.261,0.261,0.08,13.11039,13.74573,0.00183,13.25715,13.2235,0.046277,0.69826,0.96586,0.69854,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:34:40,74770366.219,0.1,0,390240,0,1,0,0,11.4,13.268,0.261,0.261,0.08,13.11039,13.74573,0.00183,13.26572,13.2235,0.046277,0.69826,0.96586,0.69854,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:34:40,74770366.419,0.1,0,390240,0,1,0,0,11.4,13.247,0.163,0.163,0.08,13.11039,13.74573,0.00138,13.24474,13.2235,0.046277,0.69826,0.96586,0.69854,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:34:40,74770366.619,0.1,0,390240,0,1,0,0,11.4,13.191,0.066,0.066,0.081,13.11039,13.74573,0.00093,13.18945,13.2235,0.046277,0.69826,0.96586,0.69854,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:34:40,74770366.819,0.1,0,390240,0,1,0,0,11.4,13.221,-0.081,-0.081,0.081,13.11039,13.74573,0.00026,13.22014,13.2235,0.046277,0.69826,0.96586,0.69854,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:34:41,74770367.019,0.1,0,390240,0,1,0,0,11.4,13.221,0.359,0.359,0.081,13.11039,13.74573,0.00228,13.21811,13.2235,0.046277,0.69826,0.96586,0.69854,,,,,,,,,,,,,,,,
soc1a_20230326, 2023-03-27T20:34:41,74770367.219,0.1,0,390240,0,1,0,0,11.4,13.251,0.261,0.261,0.082,13.11039,13.74573,0.00184,13.24856,13.2235,0.046277,0.69826,0.96586,0.69854,,,,,,,,,,,,,,,,
