=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.01.15 07:34:37 =~=~=~=~=~=~=~=~=~=~=~=
Q;

cmd: Q
ib_amp_fail 0
ib_noa_fail 0
vb_fail 0
Tb 13.750
vb 13.275
voc 13.280
voc_filt 13.277
vsat 13.755
ib -0.220
soc_m  0.8988
soc_ekf  0.8100
soc  0.8988
soc_min  0.0378
soc_inf  0.8796
modeling 0
dq_inf/dq_abs  -43354.9/   92819.8  -0.4671 coul_eff*= 1.696617, DAB+= 0.194523
DQn -114497.2 Tn  213473.6 DQp   67485.6 Tp   28202.5
cmd: Pf
unit_h, 2024-01-14T08:44:51, 1705221891,  15.807,  13.245,  -0.602,  -0.660,  15.807,  13.245,  -0.602,  0.8867,  0.0569,  0.6904,  13.257,  13.257,   0.038, 1024, 0,
unit_h, 2024-01-14T09:14:51, 1705223691,  15.807,  13.227,  -0.810,  -0.833,  15.807,  13.227,  -0.810,  0.8825,  0.0569,  0.6893,  13.243,  13.243,   0.040, 0, 0,
unit_h, 2024-01-14T09:44:51, 1705225491,  15.745,  13.279,  -0.220,  -0.227,  15.745,  13.279,  -0.220,  0.8819,  0.0563,  0.7141,  13.283,  13.283,   0.020, 0, 0,
unit_h, 2024-01-14T10:14:51, 1705227291,  15.682,  13.275,  -0.220,  -0.227,  15.682,  13.275,  -0.220,  0.8815,  0.0558,  0.7405,  13.279,  13.279,   0.016, 0, 0,
unit_h, 2024-01-14T10:44:51, 1705229091,  15.620,  13.283,  -0.185,  -0.140,  15.620,  13.283,  -0.185,  0.8811,  0.0552,  0.7651,  13.288,  13.288,   0.013, 0, 0,
unit_h, 2024-01-14T11:14:51, 1705230891,  15.557,  13.279,  -0.220,  -0.227,  15.557,  13.279,  -0.220,  0.8806,  0.0546,  0.7811,  13.283,  13.283,   0.012, 0, 0,
unit_h, 2024-01-14T11:44:52, 1705232692,  15.432,  13.283,  -0.185,  -0.140,  15.432,  13.283,  -0.185,  0.8807,  0.0534,  0.7894,  13.288,  13.288,   0.010, 0, 0,
unit_h, 2024-01-14T12:14:52, 1705234492,  15.370,  13.275,  -0.185,  -0.227,  15.370,  13.275,  -0.185,  0.8802,  0.0528,  0.7957,  13.278,  13.278,   0.008, 1024, 0,
unit_h, 2024-01-14T12:44:52, 1705236292,  15.245,  13.297,  -0.012,  -0.052,  15.245,  13.297,  -0.012,  0.8809,  0.0517,  0.8112,  13.297,  13.297,   0.003, 0, 0,
unit_h, 2024-01-14T13:14:52, 1705238092,  15.120,  13.309,   0.230,   0.293,  15.120,  13.309,   0.230,  0.8826,  0.0505,  0.8372,  13.305,  13.305,  -0.008, 0, 0,
